Timestamp,IsSPI,ID,IsExtended,IsRemote,Length,D1,D2,D3,D4,D5,D6,D7,D8
0.039273,,300,,,8,00,5A,64,5A,00,00,00,8C
0.039753,,301,,,3,B5,0C,00,,,,,
0.089281,,300,,,8,00,5A,64,5A,00,00,00,9D
0.089765,,301,,,3,4E,0D,00,,,,,
0.139283,,300,,,8,00,5A,64,5A,00,00,00,AE
0.139768,,301,,,3,1D,0E,00,,,,,
0.18929,,300,,,8,00,5A,64,5A,00,00,00,BF
0.189774,,301,,,3,E8,0F,00,,,,,
0.239296,,300,,,8,00,5A,64,5A,00,00,00,40
0.23978,,301,,,3,E2,00,00,,,,,
0.2893,,300,,,8,00,5A,64,5A,00,00,00,51
0.289784,,301,,,3,B3,01,00,,,,,
0.339306,,300,,,8,00,5A,64,5A,00,00,00,62
0.33979,,301,,,3,6B,02,00,,,,,
0.38931,,300,,,8,00,5A,64,5A,00,00,00,73
0.38979,,301,,,3,96,03,00,,,,,
0.439316,,300,,,8,00,5A,64,5A,00,00,00,04
0.439804,,301,,,3,03,04,00,,,,,
0.48932,,300,,,8,00,5A,64,5A,00,00,00,15
0.4898,,301,,,3,54,05,00,,,,,
0.539327,,300,,,8,00,5A,64,5A,00,00,00,26
0.539807,,301,,,3,F5,06,00,,,,,
0.589334,,300,,,8,00,5A,64,5A,00,00,00,37
0.589814,,301,,,3,B8,07,00,,,,,
0.625555,,404,,,2,4A,00,,,,,,
0.640117,,300,,,8,00,5A,64,5A,00,00,00,C8
0.640597,,301,,,3,80,08,00,,,,,
0.660697,,404,,,2,02,30,,,,,,
0.68666,,404,,,2,44,00,,,,,,
0.689345,,300,,,8,00,5A,64,5A,00,00,00,D9
0.689825,,301,,,3,88,09,00,,,,,
0.717964,,404,,,2,01,00,,,,,,
0.739349,,300,,,8,00,5A,64,5A,00,00,00,EA
0.739833,,301,,,3,C6,0A,00,,,,,
0.749533,,404,,,2,A3,01,,,,,,
0.780413,,404,,,2,20,00,,,,,,
0.789352,,300,,,8,00,5A,64,5A,00,00,00,FB
0.78984,,301,,,3,43,0B,00,,,,,
0.817702,,404,,,2,21,00,,,,,,
0.839359,,300,,,8,00,5A,64,5A,00,00,00,8C
0.839839,,301,,,3,B5,0C,00,,,,,
0.84274,,404,,,2,22,00,,,,,,
0.874015,,404,,,2,23,00,,,,,,
0.889364,,300,,,8,00,5A,64,5A,00,00,00,9D
0.889848,,301,,,3,4E,0D,00,,,,,
0.905237,,404,,,2,24,00,,,,,,
0.936464,,404,,,2,25,00,,,,,,
0.939369,,300,,,8,00,5A,64,5A,00,00,00,AE
0.939853,,301,,,3,1D,0E,00,,,,,
0.973311,,404,,,2,26,00,,,,,,
0.989373,,300,,,8,00,5A,64,5A,00,00,00,BF
0.989857,,301,,,3,E8,0F,00,,,,,
