name,type,start_time,duration,"identifier","extended","num_data_bytes","RemoteFrame","remote_frame","crc","ack","data"
"CAN","identifier_field",0.047123,0.00006,0x0000000000000300,,,,,,,
"CAN","control_field",0.047187,0.000012,,,0x0000000000000008,,,,,
"CAN","data_field",0.047203,0.000032,,,,,,,,0x03
"CAN","data_field",0.047239,0.000028,,,,,,,,0x5A
"CAN","data_field",0.047271,0.000028,,,,,,,,0x64
"CAN","data_field",0.047303,0.000028,,,,,,,,0x5A
"CAN","data_field",0.047335,0.000028,,,,,,,,0x64
"CAN","data_field",0.047367,0.000032,,,,,,,,0x00
"CAN","data_field",0.047407,0.000028,,,,,,,,0x64
"CAN","data_field",0.047439,0.000028,,,,,,,,0xAF
"CAN","crc_field",0.047471,0.000056,,,,,,0x0000000000003A77,,
"CAN","ack_field",0.047535,0.000004,,,,,,,true,
"CAN","identifier_field",0.047587,0.000056,0x0000000000000301,,,,,,,
"CAN","control_field",0.047647,0.000016,,,0x0000000000000003,,,,,
"CAN","data_field",0.047667,0.000032,,,,,,,,0xE8
"CAN","data_field",0.047703,0.000032,,,,,,,,0x0F
"CAN","data_field",0.047739,0.000032,,,,,,,,0x00
"CAN","crc_field",0.047775,0.000056,,,,,,0x00000000000077B9,,
"CAN","ack_field",0.047839,0.000004,,,,,,,true,
"CAN","identifier_field",0.097129,0.00006,0x0000000000000300,,,,,,,
"CAN","control_field",0.097193,0.000012,,,0x0000000000000008,,,,,
"CAN","data_field",0.097209,0.000032,,,,,,,,0x03
"CAN","data_field",0.097245,0.000028,,,,,,,,0x5A
"CAN","data_field",0.097277,0.000028,,,,,,,,0x64
"CAN","data_field",0.097309,0.000028,,,,,,,,0x5A
"CAN","data_field",0.097341,0.000028,,,,,,,,0x64
"CAN","data_field",0.097373,0.000032,,,,,,,,0x00
"CAN","data_field",0.097413,0.000028,,,,,,,,0x64
"CAN","data_field",0.097445,0.000028,,,,,,,,0x30
"CAN","crc_field",0.097477,0.000064,,,,,,0x0000000000001209,,
"CAN","ack_field",0.097549,0.000004,,,,,,,true,
"CAN","identifier_field",0.097601,0.000056,0x0000000000000301,,,,,,,
"CAN","control_field",0.097661,0.000016,,,0x0000000000000003,,,,,
"CAN","data_field",0.097681,0.000032,,,,,,,,0xE2
