Timestamp,IsSPI,ID,IsExtended,IsRemote,Length,D1,D2,D3,D4,D5,D6,D7,D8
0.047123,,300,,,8,03,5A,64,5A,64,00,64,AF
0.047587,,301,,,3,E8,0F,00,,,,,
0.097129,,300,,,8,03,5A,64,5A,64,00,64,30
0.097601,,301,,,3,E2,00,00,,,,,
0.147134,,300,,,8,03,5A,64,5A,64,00,64,21
0.147606,,301,,,3,B3,01,00,,,,,
0.197137,,300,,,8,03,5A,64,5A,64,00,64,32
0.197601,,301,,,3,6B,02,00,,,,,
0.247142,,300,,,8,03,5A,64,5A,64,00,64,23
0.247606,,301,,,3,96,03,00,,,,,
0.297149,,300,,,8,03,5A,64,5A,64,00,64,34
0.297613,,301,,,3,03,04,00,,,,,
0.347155,,300,,,8,03,5A,64,5A,64,00,64,25
0.347619,,301,,,3,54,05,00,,,,,
0.397158,,300,,,8,03,5A,64,5A,64,00,64,36
0.397626,,301,,,3,F5,06,00,,,,,
0.447165,,300,,,8,03,5A,64,5A,64,00,64,27
0.447633,,301,,,3,B8,07,00,,,,,
0.497172,,300,,,8,03,5A,64,5A,64,00,64,B8
0.49764,,301,,,3,80,08,00,,,,,
0.547175,,300,,,8,03,5A,64,5A,64,00,64,A9
0.547643,,301,,,3,88,09,00,,,,,
0.597181,,300,,,8,03,5A,64,5A,64,00,64,BA
0.597645,,301,,,3,C6,0A,00,,,,,
0.647184,,300,,,8,03,5A,64,5A,64,00,64,AB
0.647648,,301,,,3,43,0B,00,,,,,
0.69719,,300,,,8,03,5A,64,5A,64,00,64,BC
0.697654,,301,,,3,B5,0C,00,,,,,
0.740667,,1FF679E7,,,F,,,,,,,,
0.747196,,300,,,8,03,5A,64,5A,64,00,64,AD
0.74766,,301,,,3,4E,0D,00,,,,,
0.797203,,300,,,8,03,5A,64,5A,64,00,64,BE
0.797671,,301,,,3,1D,0E,00,,,,,
0.820864,,3CF,,,E,,,,,,,,
0.847982,,300,,,8,03,5A,64,5A,64,00,64,AF
0.848446,,301,,,3,E8,0F,00,,,,,
0.898212,,300,,,8,03,5A,64,5A,64,00,64,30
0.898684,,301,,,3,E2,00,00,,,,,
0.921234,,1C7B9F71,,,F,,,,,,,,
0.941318,,1C739E78,,,1,,,,,,,,
0.948219,,300,,,8,03,5A,64,5A,64,00,64,21
0.948691,,301,,,3,B3,01,00,,,,,
0.998222,,300,,,8,03,5A,64,5A,64,00,64,32
0.998686,,301,,,3,6B,02,00,,,,,
1.041397,,5FE,,,E,,,,,,,,
1.048227,,300,,,8,03,5A,64,5A,64,00,64,23
1.048691,,301,,,3,96,03,00,,,,,
1.098234,,300,,,8,03,5A,64,5A,64,00,64,34
1.098698,,301,,,3,03,04,00,,,,,
1.101554,,1C779E38,,,1,,,,,,,,
1.121754,,7EE,,,E,,,,,,,,
1.148236,,300,,,8,03,5A,64,5A,64,00,64,25
1.1487,,301,,,3,54,05,00,,,,,
1.198243,,300,,,8,03,5A,64,5A,64,00,64,36
1.198711,,301,,,3,F5,06,00,,,,,
1.221978,,1FD33CEB,,,F,,,,,,,,
1.241923,,1C7,,,5,5D,B3,DB,8E,38,,,
1.248247,,300,,,8,03,5A,64,5A,64,00,64,27
1.248715,,301,,,3,B8,07,00,,,,,
1.298253,,300,,,8,03,5A,64,5A,64,00,64,B8
1.298721,,301,,,3,80,08,00,,,,,
1.32213,,1C3,,,5,CF,78,E2,8E,3D,,,
1.342186,,C2,,,,,,,,,,,
1.34826,,300,,,8,03,5A,64,5A,64,00,64,A9
1.348728,,301,,,3,88,09,00,,,,,
1.398262,,300,,,8,03,5A,64,5A,64,00,64,BA
1.398726,,301,,,3,C6,0A,00,,,,,
1.422392,,116D4D,,,1,,,,,,,,
1.442436,,610,,,4,00,80,36,18,,,,
1.44827,,300,,,8,03,5A,64,5A,64,00,64,AB
1.448734,,301,,,3,43,0B,00,,,,,
1.498273,,300,,,8,03,5A,64,5A,64,00,64,BC
1.498737,,301,,,3,B5,0C,00,,,,,
1.522657,,210ED4D,,,,,,,,,,,
1.542699,,610,,,4,00,80,37,08,,,,
1.54828,,300,,,8,03,5A,64,5A,64,00,64,AD
1.548744,,301,,,3,4E,0D,00,,,,,
1.598283,,300,,,8,03,5A,64,5A,64,00,64,BE
1.598751,,301,,,3,1D,0E,00,,,,,
1.602889,,403,,,8,64,00,00,00,41,E6,12,00
1.622906,,401,,,8,C4,9A,28,05,10,CF,88,00
1.642958,,400,,,8,,,,,,,,
1.648288,,300,,,8,03,5A,64,5A,64,00,64,AF
1.648752,,301,,,3,E8,0F,00,,,,,
1.698295,,300,,,8,03,5A,64,5A,64,00,64,30
1.698767,,301,,,3,E2,00,00,,,,,
1.723165,,401,,,8,C4,9E,00,00,53,3C,00,00
1.743219,,10010020,,,6,C0,00,00,00,00,0E,,
1.748299,,300,,,8,03,5A,64,5A,64,00,64,21
1.748771,,301,,,3,B3,01,00,,,,,
1.798306,,300,,,8,03,5A,64,5A,64,00,64,32
1.79877,,301,,,3,6B,02,00,,,,,
1.823421,,401,,,8,C4,9A,00,42,A1,9E,28,60
1.843476,,,,,,,,,,,,,
1.849087,,300,,,8,03,5A,64,5A,64,00,64,23
1.849551,,301,,,3,96,03,00,,,,,
1.898317,,300,,,8,03,5A,64,5A,64,00,64,34
1.898781,,301,,,3,03,04,00,,,,,
1.923681,,401,,,C,92,ED,C7,1C,51,F5,5C,51
1.948321,,300,,,8,03,5A,64,5A,64,00,64,25
1.948785,,301,,,3,54,05,00,,,,,
1.998324,,300,,,8,03,5A,64,5A,64,00,64,36
1.998792,,301,,,3,F5,06,00,,,,,
2.023935,,401,,,8,,,,,,,,
2.043988,,18604904,,,,,,,,,,,
2.048329,,300,,,8,03,5A,64,5A,64,00,64,27
2.048797,,301,,,3,B8,07,00,,,,,
