name,type,start_time,duration,"identifier","extended","num_data_bytes","RemoteFrame","remote_frame","crc","ack","data"
"CAN","identifier_field",0.027699,0.00006,0x0000000000000300,,,,,,,
"CAN","control_field",0.027763,0.000012,,,0x0000000000000008,,,,,
"CAN","data_field",0.027779,0.000032,,,,,,,,0x03
"CAN","data_field",0.027815,0.000028,,,,,,,,0x5A
"CAN","data_field",0.027847,0.000028,,,,,,,,0x64
"CAN","data_field",0.027879,0.000028,,,,,,,,0x5A
"CAN","data_field",0.027911,0.000028,,,,,,,,0x64
"CAN","data_field",0.027943,0.000032,,,,,,,,0x00
"CAN","data_field",0.027983,0.000028,,,,,,,,0x64
"CAN","data_field",0.028015,0.000028,,,,,,,,0xAB
"CAN","crc_field",0.028047,0.000056,,,,,,0x00000000000062B8,,
"CAN","ack_field",0.028111,0.000004,,,,,,,true,
"CAN","identifier_field",0.028163,0.000056,0x0000000000000301,,,,,,,
"CAN","control_field",0.028223,0.000016,,,0x0000000000000003,,,,,
"CAN","data_field",0.028243,0.000028,,,,,,,,0x43
"CAN","data_field",0.028275,0.000028,,,,,,,,0x0B
"CAN","data_field",0.028307,0.000032,,,,,,,,0x00
"CAN","crc_field",0.028343,0.000056,,,,,,0x00000000000023D1,,
"CAN","ack_field",0.028407,0.000004,,,,,,,true,
"CAN","identifier_field",0.065312,0.000052,0x00000000000002D1,,,,true,,,
"CAN","control_field",0.065368,0.000012,,,0x0000000000000007,,,,,
"CAN","crc_field",0.065384,0.00006,,,,,,0x000000000000067C,,
"CAN","ack_field",0.065452,0.000004,,,,,,,false,
"CAN","identifier_field",0.077705,0.00006,0x0000000000000300,,,,,,,
"CAN","control_field",0.077769,0.000012,,,0x0000000000000008,,,,,
"CAN","data_field",0.077785,0.000032,,,,,,,,0x03
"CAN","data_field",0.077821,0.000028,,,,,,,,0x5A
"CAN","data_field",0.077853,0.000028,,,,,,,,0x64
"CAN","data_field",0.077885,0.000028,,,,,,,,0x5A
"CAN","data_field",0.077917,0.000028,,,,,,,,0x64
"CAN","data_field",0.077949,0.000032,,,,,,,,0x00
"CAN","data_field",0.077989,0.000028,,,,,,,,0x64
"CAN","data_field",0.078021,0.000028,,,,,,,,0xBC
"CAN","crc_field",0.078053,0.000056,,,,,,0x0000000000001CD2,,
"CAN","ack_field",0.078117,0.000004,,,,,,,true,
"CAN","identifier_field",0.078169,0.000056,0x0000000000000301,,,,,,,
"CAN","control_field",0.078229,0.000016,,,0x0000000000000003,,,,,
"CAN","data_field",0.078249,0.000028,,,,,,,,0xB5
"CAN","data_field",0.078281,0.000028,,,,,,,,0x0C
"CAN","data_field",0.078313,0.000032,,,,,,,,0x00
"CAN","crc_field",0.078353,0.00006,,,,,,0x00000000000072FC,,
"CAN","ack_field",0.078421,0.000004,,,,,,,true,
"CAN","identifier_field",0.085348,0.000136,0x0000000002099668,true,,true,,,,
"CAN","control_field",0.085488,0.000012,,,0x000000000000000B,,,,,
"CAN","crc_field",0.085504,0.000056,,,,,,0x00000000000038E1,,
