timestamp,cadence,distance,speed,power,enhanced speed,motor power,ebike battery level,ebike assist mode,raw speed,motor profile scale,motor current scale
1096200311,0,0,0,0,0,0,100,5,,100,100
1096200312,0,0,0,0,0,0,100,5,,100,100
1096200313,3,0,0,1,0,223,100,5,,100,100
1096200314,5,0,0,1,0,337,100,5,,100,100
1096200315,15,0,0,2,0,348,100,5,,100,100
1096200316,31,200,528,14,528,365,100,5,0,100,100
1096200317,47,400,1611,30,1611,479,100,5,0,100,100
1096200318,61,900,2870,34,2870,343,100,5,0,100,100
1096200319,70,1300,3824,40,3824,316,100,5,0,100,100
1096200320,76,1700,4296,46,4296,290,100,5,0,100,100
1096200321,78,2400,4620,40,4620,213,100,5,0,100,100
1096200322,78,2800,4611,37,4611,175,99,5,0,100,100
1096200323,77,3200,4500,41,4500,189,99,5,0,100,100
1096200324,76,3700,4389,43,4389,222,99,5,0,100,100
1096200325,76,4100,4472,40,4472,193,99,5,0,100,100
1096200326,76,4500,4472,39,4472,188,99,5,0,100,100
1096200327,75,5000,4389,44,4389,294,99,5,0,100,100
1096200328,75,5400,4333,48,4333,310,99,5,0,100,100
1096200329,75,5800,4417,41,4417,233,99,5,0,100,100
1096200330,74,6300,4417,37,4417,260,99,5,0,100,100
1096200331,72,6700,4333,42,4333,271,99,5,0,100,100
1096200332,72,7100,4278,47,4278,304,99,5,0,100,100
1096200333,74,7600,4407,49,4407,252,99,5,0,100,100
1096200334,76,8000,4509,48,4509,255,99,5,0,100,100
1096200335,77,8400,4583,47,4583,279,99,5,0,100,100
1096200336,78,9100,4620,49,4620,255,99,5,0,100,100
1096200337,79,9500,4611,50,4611,237,99,5,0,100,100
1096200338,79,9900,4583,50,4583,272,99,5,0,100,100
1096200339,78,10400,4611,44,4611,212,99,5,0,100,100
1096200340,78,10800,4611,43,4611,212,99,5,0,100,100
1096200341,77,11200,4528,41,4528,219,99,5,0,100,100
1096200342,75,11700,4444,46,4444,251,99,5,0,100,100
1096200343,75,12100,4139,52,4139,292,99,5,0,100,100
1096200344,77,12700,4444,49,4444,267,99,5,0,100,100
1096200345,78,13200,4667,43,4667,239,99,5,0,100,100
1096200346,78,13600,4556,45,4556,232,99,5,0,100,100
1096200347,77,14000,4528,44,4528,235,99,5,0,100,100
1096200348,77,14500,4472,48,4472,244,99,5,0,100,100
1096200349,77,14900,4537,51,4537,249,99,5,0,100,100
1096200350,78,15300,4602,49,4602,233,99,5,0,100,100
1096200351,78,15800,4611,48,4611,270,99,5,0,100,100
1096200352,78,16200,4630,43,4630,242,99,5,0,100,100
1096200353,78,16800,4528,43,4528,183,99,5,0,100,100
1096200354,75,17300,4472,46,4472,236,99,5,0,100,100
1096200355,74,17700,4389,48,4389,279,99,5,0,100,100
1096200356,76,18100,4519,48,4519,258,99,5,0,100,100
1096200357,77,18600,4611,46,4611,245,99,5,0,100,100
1096200358,78,19000,4583,46,4583,269,99,5,0,100,100
1096200359,78,19400,4556,44,4556,254,99,5,0,100,100
1096200360,77,19900,4472,48,4472,268,99,5,0,100,100
1096200361,77,20500,4417,53,4417,290,99,5,0,100,100
1096200362,77,20700,4491,47,4491,261,99,5,0,100,100
1096200363,77,21400,4565,43,4565,218,99,5,0,100,100
1096200364,78,21800,4556,38,4556,183,99,5,0,100,100
1096200365,75,22200,4528,36,4528,240,99,5,0,100,100
1096200366,75,22700,4222,39,4222,234,99,5,0,100,100
1096200367,77,23100,4454,40,4454,243,99,5,0,100,100
1096200368,78,23500,4583,41,4583,255,99,5,0,100,100
1096200369,79,24000,4694,46,4694,234,99,5,0,100,100
1096200370,80,24600,4750,40,4750,199,99,5,0,100,100
1096200371,81,25100,4806,34,4806,174,99,5,0,100,100
1096200372,81,25500,4722,36,4722,157,99,5,0,100,100
1096200373,78,25900,4667,40,4667,200,99,5,0,100,100
1096200374,77,26300,4472,41,4472,190,99,5,0,100,100
1096200375,79,27000,4657,41,4657,176,99,5,0,100,100
1096200376,80,27400,4694,38,4694,185,99,5,0,100,100
1096200377,81,27900,4806,33,4806,167,99,5,0,100,100
1096200378,81,28300,4750,30,4750,119,99,5,0,100,100
1096200379,78,28700,4667,31,4667,131,99,5,0,100,100
1096200380,77,29200,4278,32,4278,150,99,5,0,100,100
1096200381,78,29800,4565,31,4565,155,99,5,0,100,100
1096200382,79,30200,4722,31,4722,175,99,5,0,100,100
1096200383,80,30700,4667,33,4667,179,99,5,0,100,100
1096200384,80,31100,4667,35,4667,157,99,5,0,100,100
1096200385,80,31500,4713,34,4713,158,99,5,0,100,100
1096200386,82,32200,4806,28,4806,148,99,5,0,100,100
1096200387,82,32600,4861,25,4861,113,99,5,0,100,100
1096200388,81,33000,4750,26,4750,147,99,5,0,100,100
1096200389,78,33500,4722,26,4722,167,99,5,0,100,100
1096200390,77,33900,4556,26,4556,146,99,5,0,100,100
1096200391,77,34600,4583,29,4583,159,99,5,0,100,100
1096200392,78,35000,4583,30,4583,185,99,5,0,100,100
1096200393,78,35400,4620,33,4620,181,99,5,0,100,100
1096200394,79,35900,4648,33,4648,178,99,5,0,100,100
1096200395,80,36300,4694,34,4694,167,99,5,0,100,100
1096200396,80,36700,4713,33,4713,143,99,5,0,100,100
1096200397,80,37400,4694,37,4694,177,99,5,0,100,100
1096200398,79,37800,4639,41,4639,214,99,5,0,100,100
1096200399,79,38200,4667,40,4667,205,99,5,0,100,100
1096200400,80,38700,4667,42,4667,240,99,5,0,100,100
1096200401,80,39100,4685,40,4685,224,99,5,0,100,100
1096200402,80,39500,4694,38,4694,186,99,5,0,100,100
1096200403,77,40200,4694,40,4694,173,99,5,0,100,100
1096200404,77,40600,4556,39,4556,219,99,5,0,100,100
1096200405,79,41000,4667,37,4667,189,99,5,0,100,100
1096200406,80,41500,4722,40,4722,199,99,5,0,100,100
1096200407,80,41900,4722,43,4722,226,99,5,0,100,100
1096200408,81,42500,4750,44,4750,255,99,5,0,100,100
1096200409,81,43000,4778,42,4778,224,99,5,0,100,100
1096200410,82,43400,4815,35,4815,169,99,5,0,100,100
1096200411,79,43800,4778,32,4778,195,99,5,0,100,100
1096200412,78,44300,4824,35,4824,182,99,5,0,100,100
1096200413,79,44900,4750,36,4750,167,99,5,0,100,100
1096200414,77,45400,4667,40,4667,243,99,5,0,100,100
1096200415,77,45800,4639,41,4639,224,99,5,0,100,100
1096200416,78,46200,4639,42,4639,184,99,5,0,100,100
1096200417,78,46700,4611,39,4611,209,99,5,0,100,100
1096200418,76,47100,4611,38,4611,186,99,5,0,100,100
1096200419,76,47700,4611,37,4611,173,99,5,0,100,100
1096200420,77,47900,4639,34,4639,141,99,5,0,100,100
1096200421,77,48600,4694,28,4694,135,99,5,0,100,100
1096200422,78,49000,4750,29,4750,151,99,5,0,100,100
1096200423,79,49500,4639,34,4639,194,99,5,0,100,100
