name,type,start_time,duration,"identifier","num_data_bytes","crc","ack","data"
"CAN","identifier_field",0.012926,0.00006,0x0000000000000300,,,,
"CAN","control_field",0.01299,0.000012,,0x0000000000000008,,,
"CAN","data_field",0.013006,0.000032,,,,,0x03
"CAN","data_field",0.013042,0.000028,,,,,0x5A
"CAN","data_field",0.013074,0.000028,,,,,0x64
"CAN","data_field",0.013106,0.000028,,,,,0x5A
"CAN","data_field",0.013138,0.000028,,,,,0x14
"CAN","data_field",0.01317,0.000032,,,,,0x00
"CAN","data_field",0.01321,0.000028,,,,,0x14
"CAN","data_field",0.013242,0.000028,,,,,0x57
"CAN","crc_field",0.013274,0.00006,,,0x0000000000005E06,,
"CAN","ack_field",0.013342,0.000004,,,,true,
"CAN","identifier_field",0.013394,0.000056,0x0000000000000301,,,,
"CAN","control_field",0.013454,0.000016,,0x0000000000000003,,,
"CAN","data_field",0.013474,0.000028,,,,,0xB8
"CAN","data_field",0.013506,0.000032,,,,,0x07
"CAN","data_field",0.013542,0.000032,,,,,0x00
"CAN","crc_field",0.013578,0.000056,,,0x0000000000006ADB,,
"CAN","ack_field",0.013642,0.000004,,,,true,
"CAN","identifier_field",0.062934,0.00006,0x0000000000000300,,,,
"CAN","control_field",0.062998,0.000012,,0x0000000000000008,,,
"CAN","data_field",0.063014,0.000032,,,,,0x03
"CAN","data_field",0.06305,0.000028,,,,,0x5A
"CAN","data_field",0.063082,0.000028,,,,,0x64
"CAN","data_field",0.063114,0.000028,,,,,0x5A
"CAN","data_field",0.063146,0.000028,,,,,0x14
"CAN","data_field",0.063178,0.000032,,,,,0x00
"CAN","data_field",0.063218,0.000028,,,,,0x14
"CAN","data_field",0.06325,0.000028,,,,,0xB8
"CAN","crc_field",0.063282,0.00006,,,0x0000000000007304,,
"CAN","ack_field",0.06335,0.000004,,,,true,
"CAN","identifier_field",0.063402,0.000056,0x0000000000000301,,,,
"CAN","control_field",0.063462,0.000016,,0x0000000000000003,,,
"CAN","data_field",0.063482,0.000032,,,,,0x80
"CAN","data_field",0.063518,0.000032,,,,,0x08
"CAN","data_field",0.063554,0.000036,,,,,0x00
