Timestamp,IsSPI,ID,IsExtended,IsRemote,Length,D1,D2,D3,D4,D5,D6,D7,D8
0.017433,,300,,,8,03,5A,64,5A,32,00,32,71
0.017897,,301,,,3,B3,01,00,,,,,
0.067441,,300,,,8,03,5A,64,5A,32,00,32,72
0.067905,,301,,,3,6B,02,00,,,,,
0.117444,,300,,,8,03,5A,64,5A,32,00,32,73
0.117912,,301,,,3,96,03,00,,,,,
0.167451,,300,,,8,03,5A,64,5A,32,00,32,34
0.16792,,301,,,3,03,04,00,,,,,
0.217454,,300,,,8,03,5A,64,5A,32,00,32,35
0.217922,,301,,,3,54,05,00,,,,,
0.267461,,300,,,8,03,5A,64,5A,32,00,32,36
0.267929,,301,,,3,F5,06,00,,,,,
0.317465,,300,,,8,03,5A,64,5A,32,00,32,37
0.317929,,301,,,3,B8,07,00,,,,,
0.367469,,300,,,8,03,5A,64,5A,32,00,32,F8
0.367945,,301,,,3,80,08,00,,,,,
0.418253,,300,,,8,03,5A,64,5A,32,00,32,F9
0.418721,,301,,,3,88,09,00,,,,,
0.467485,,300,,,8,03,5A,64,5A,32,00,32,FA
0.467953,,301,,,3,C6,0A,00,,,,,
0.517488,,300,,,8,03,5A,64,5A,32,00,32,FB
0.51796,,301,,,3,43,0B,00,,,,,
0.567491,,300,,,8,03,5A,64,5A,32,00,32,BC
0.567959,,301,,,3,B5,0C,00,,,,,
0.617496,,300,,,8,03,5A,64,5A,32,00,32,BD
0.61796,,301,,,3,4E,0D,00,,,,,
0.667501,,300,,,8,03,5A,64,5A,32,00,32,BE
0.667969,,301,,,3,1D,0E,00,,,,,
0.717507,,300,,,8,03,5A,64,5A,32,00,32,BF
0.717975,,301,,,3,E8,0F,00,,,,,
0.767513,,300,,,8,03,5A,64,5A,32,00,32,70
0.767977,,301,,,3,E2,00,00,,,,,
0.817518,,300,,,8,03,5A,64,5A,32,00,32,71
0.817982,,301,,,3,B3,01,00,,,,,
0.867525,,300,,,8,03,5A,64,5A,32,00,32,72
0.867989,,301,,,3,6B,02,00,,,,,
0.917529,,300,,,8,03,5A,64,5A,32,00,32,73
0.917997,,301,,,3,96,03,00,,,,,
0.967535,,300,,,8,03,5A,64,5A,32,00,32,34
0.968003,,301,,,3,03,04,00,,,,,
1.017538,,300,,,8,03,5A,64,5A,32,00,32,35
1.018006,,301,,,3,54,05,00,,,,,
1.067542,,300,,,8,03,5A,64,5A,32,00,32,36
1.06801,,301,,,3,F5,06,00,,,,,
1.11755,,300,,,8,03,5A,64,5A,32,00,32,37
1.118014,,301,,,3,B8,07,00,,,,,
1.167554,,300,,,8,03,5A,64,5A,32,00,32,F8
1.16803,,301,,,3,80,08,00,,,,,
1.217559,,300,,,8,03,5A,64,5A,32,00,32,F9
1.218027,,301,,,3,88,09,00,,,,,
1.267564,,300,,,8,03,5A,64,5A,32,00,32,FA
1.268032,,301,,,3,C6,0A,00,,,,,
1.31757,,300,,,8,03,5A,64,5A,32,00,32,FB
1.318042,,301,,,3,43,0B,00,,,,,
1.367575,,300,,,8,03,5A,64,5A,32,00,32,BC
1.368043,,301,,,3,B5,0C,00,,,,,
1.418357,,300,,,8,03,5A,64,5A,32,00,32,BD
1.418821,,301,,,3,4E,0D,00,,,,,
1.467589,,300,,,8,03,5A,64,5A,32,00,32,BE
1.468057,,301,,,3,1D,0E,00,,,,,
1.517592,,300,,,8,03,5A,64,5A,32,00,32,BF
1.51806,,301,,,3,E8,0F,00,,,,,
1.567597,,300,,,8,03,5A,64,5A,32,00,32,70
1.568061,,301,,,3,E2,00,00,,,,,
1.6176,,300,,,8,03,5A,64,5A,32,00,32,71
1.618064,,301,,,3,B3,01,00,,,,,
1.667606,,300,,,8,03,5A,64,5A,32,00,32,72
1.66807,,301,,,3,6B,02,00,,,,,
1.717611,,300,,,8,03,5A,64,5A,32,00,32,73
1.718079,,301,,,3,96,03,00,,,,,
1.767617,,300,,,8,03,5A,64,5A,32,00,32,34
1.768085,,301,,,3,03,04,00,,,,,
1.81762,,300,,,8,03,5A,64,5A,32,00,32,35
1.818088,,301,,,3,54,05,00,,,,,
1.867628,,300,,,8,03,5A,64,5A,32,00,32,36
1.868096,,301,,,3,F5,06,00,,,,,
1.917633,,300,,,8,03,5A,64,5A,32,00,32,37
1.918097,,301,,,3,B8,07,00,,,,,
1.967637,,300,,,8,03,5A,64,5A,32,00,32,F8
1.968113,,301,,,3,80,08,00,,,,,
2.017643,,300,,,8,03,5A,64,5A,32,00,32,F9
2.018111,,301,,,3,88,09,00,,,,,
2.067647,,300,,,8,03,5A,64,5A,32,00,32,FA
2.068115,,301,,,3,C6,0A,00,,,,,
2.117655,,300,,,8,03,5A,64,5A,32,00,32,FB
2.118127,,301,,,3,43,0B,00,,,,,
2.16766,,300,,,8,03,5A,64,5A,32,00,32,BC
2.168128,,301,,,3,B5,0C,00,,,,,
2.217665,,300,,,8,03,5A,64,5A,32,00,32,BD
2.218129,,301,,,3,4E,0D,00,,,,,
2.26767,,300,,,8,03,5A,64,5A,32,00,32,BE
2.268138,,301,,,3,1D,0E,00,,,,,
2.317674,,300,,,8,03,5A,64,5A,32,00,32,BF
2.318142,,301,,,3,E8,0F,00,,,,,
2.36768,,300,,,8,03,5A,64,5A,32,00,32,70
2.368144,,301,,,3,E2,00,00,,,,,
2.418463,,300,,,8,03,5A,64,5A,32,00,32,71
2.418927,,301,,,3,B3,01,00,,,,,
2.467691,,300,,,8,03,5A,64,5A,32,00,32,72
2.468155,,301,,,3,6B,02,00,,,,,
2.517695,,300,,,8,03,5A,64,5A,32,00,32,73
2.518163,,301,,,3,96,03,00,,,,,
2.567761,,300,,,8,03,5A,64,5A,32,00,32,34
2.568229,,301,,,3,03,04,00,,,,,
2.617706,,300,,,8,03,5A,64,5A,32,00,32,35
2.618174,,301,,,3,54,05,00,,,,,
2.66794,,300,,,8,03,5A,64,5A,32,00,32,36
2.668408,,301,,,3,F5,06,00,,,,,
2.717718,,300,,,8,03,5A,64,5A,32,00,32,37
2.718182,,301,,,3,B8,07,00,,,,,
2.768189,,300,,,8,03,5A,64,5A,32,00,32,F8
2.768665,,301,,,3,80,08,00,,,,,
2.817726,,300,,,8,03,5A,64,5A,32,00,32,F9
2.818194,,301,,,3,88,09,00,,,,,
2.867731,,300,,,8,03,5A,64,5A,32,00,32,FA
2.868199,,301,,,3,C6,0A,00,,,,,
2.917739,,300,,,8,03,5A,64,5A,32,00,32,FB
2.918211,,301,,,3,43,0B,00,,,,,
2.967744,,300,,,8,03,5A,64,5A,32,00,32,BC
2.968212,,301,,,3,B5,0C,00,,,,,
3.017749,,300,,,8,03,5A,64,5A,32,00,32,BD
3.018213,,301,,,3,4E,0D,00,,,,,
3.067751,,300,,,8,03,5A,64,5A,32,00,32,BE
3.068219,,301,,,3,1D,0E,00,,,,,
3.117758,,300,,,8,03,5A,64,5A,32,00,32,BF
