timestamp,cadence,distance,speed,power,enhanced speed,motor power,ebike battery level,ebike assist mode,raw speed,motor profile scale,motor current scale
1096200049,0,0,0,0,0,0,100,5,,50,50
1096200050,0,0,0,0,0,0,100,5,,50,50
1096200051,0,0,0,0,0,0,100,5,,50,50
1096200052,7,0,0,1,0,33,100,5,,50,50
1096200053,19,0,0,6,0,170,100,5,,50,50
1096200054,29,200,472,11,472,51,100,5,0,50,50
1096200055,37,400,1222,12,1222,122,100,5,0,50,50
1096200056,41,600,2037,16,2037,70,100,5,0,50,50
1096200057,44,800,2472,14,2472,99,100,5,0,50,50
1096200058,47,1300,2667,15,2667,56,100,5,0,50,50
1096200059,48,1500,2815,19,2815,64,100,5,0,50,50
1096200060,50,1700,2898,18,2898,73,100,5,0,50,50
1096200061,51,2100,2972,21,2972,121,100,5,0,50,50
1096200062,52,2300,3046,19,3046,54,100,5,0,50,50
1096200063,52,2800,3056,22,3056,80,100,5,0,50,50
1096200064,52,3000,3000,18,3000,74,100,5,0,50,50
1096200065,52,3200,3028,15,3028,67,100,5,0,50,50
1096200066,52,3600,3028,17,3028,48,100,5,0,50,50
1096200067,52,3900,3046,20,3046,67,100,5,0,50,50
1096200068,52,4300,3056,15,3056,98,100,5,0,50,50
1096200069,51,4500,3028,12,3028,75,100,5,0,50,50
1096200070,49,4700,3056,14,3056,54,100,5,0,50,50
1096200071,49,5200,2722,15,2722,83,100,5,0,50,50
1096200072,50,5400,2963,14,2963,86,100,5,0,50,50
1096200073,51,5800,3028,20,3028,87,100,5,0,50,50
1096200074,52,6000,3056,17,3056,60,100,5,0,50,50
1096200075,52,6200,3056,12,3056,71,100,5,0,50,50
1096200076,52,6700,3056,11,3056,77,100,5,0,50,50
1096200077,52,6900,3028,14,3028,50,100,5,0,50,50
1096200078,51,7300,3000,16,3000,62,100,5,0,50,50
1096200079,51,7500,2944,13,2944,78,100,5,0,50,50
1096200080,50,7700,2972,13,2972,59,100,5,0,50,50
1096200081,50,8200,2917,19,2917,64,100,5,0,50,50
1096200082,50,8400,2889,14,2889,97,100,5,0,50,50
1096200083,51,8800,2954,11,2954,65,100,5,0,50,50
1096200084,50,9000,2972,9,2972,41,100,5,0,50,50
1096200085,50,9300,2917,12,2917,59,100,5,0,50,50
1096200086,49,9700,2833,11,2833,58,100,5,0,50,50
1096200087,48,9900,2806,20,2806,75,100,5,0,50,50
1096200088,48,10100,2806,19,2806,101,100,5,0,50,50
1096200089,48,10600,2824,22,2824,100,100,5,0,50,50
1096200090,47,10800,2852,19,2852,77,100,5,0,50,50
1096200091,48,11000,2694,16,2694,86,100,5,0,50,50
1096200092,50,11400,2880,17,2880,70,100,5,0,50,50
1096200093,51,11600,3028,19,3028,82,100,5,0,50,50
1096200094,51,11800,3056,14,3056,62,100,5,0,50,50
1096200095,52,12300,3083,14,3083,89,100,5,0,50,50
1096200096,51,12500,3000,14,3000,56,100,5,0,50,50
1096200097,51,12900,2972,13,2972,44,100,5,0,50,50
1096200098,51,13100,3028,14,3028,80,100,5,0,50,50
1096200099,52,13400,3028,15,3028,91,100,5,0,50,50
1096200100,52,13800,3056,15,3056,59,100,5,0,50,50
1096200101,51,14000,3028,17,3028,52,100,5,0,50,50
1096200102,50,14400,2972,18,2972,98,100,5,0,50,50
1096200103,49,14700,2917,17,2917,71,100,5,0,50,50
1096200104,48,14900,2806,12,2806,33,100,5,0,50,50
1096200105,47,15300,2694,9,2694,36,100,5,0,50,50
1096200106,45,15500,2694,35,2694,157,100,5,0,50,50
1096200107,45,15700,2556,39,2556,181,100,5,0,50,50
1096200108,45,16000,2630,35,2630,163,100,5,0,50,50
1096200109,46,16400,2769,29,2769,124,100,5,0,50,50
1096200110,46,16600,2806,29,2806,113,100,5,0,50,50
1096200111,47,16800,2611,33,2611,158,100,5,0,50,50
1096200112,49,17000,2796,30,2796,132,100,5,0,50,50
1096200113,50,17500,3000,23,3000,70,100,5,0,50,50
1096200114,50,17700,2972,26,2972,104,100,5,0,50,50
1096200115,50,18100,2917,25,2917,140,100,5,0,50,50
1096200116,50,18300,2917,21,2917,103,100,5,0,50,50
1096200117,51,18500,2981,22,2981,63,100,5,0,50,50
1096200118,51,19000,3028,18,3028,57,100,5,0,50,50
1096200119,52,19200,3056,22,3056,107,100,5,0,50,50
1096200120,48,19600,3028,24,3028,108,100,5,0,50,50
1096200121,48,19800,2750,27,2750,91,100,5,0,50,50
1096200122,49,20100,2889,28,2889,149,100,5,0,50,50
1096200123,49,20500,2944,26,2944,113,100,5,0,50,50
1096200124,50,20700,3000,27,3000,94,100,5,0,50,50
1096200125,51,20900,3000,25,3000,101,100,5,0,50,50
1096200126,51,21400,3028,22,3028,102,100,5,0,50,50
1096200127,52,21600,3028,22,3028,94,100,5,0,50,50
1096200128,51,22000,3028,25,3028,102,100,5,0,50,50
1096200129,51,22200,3000,24,3000,128,100,5,0,50,50
1096200130,51,22400,3019,25,3019,136,100,5,0,50,50
1096200131,51,22900,3000,27,3000,93,100,5,0,50,50
1096200132,51,23100,3028,25,3028,73,100,5,0,50,50
1096200133,52,23500,3065,23,3065,89,100,5,0,50,50
1096200134,52,23700,3028,26,3028,120,100,5,0,50,50
1096200135,52,23900,3028,28,3028,116,100,5,0,50,50
1096200136,52,24400,3056,26,3056,124,100,5,0,50,50
1096200137,52,24600,3074,24,3074,126,100,5,0,50,50
1096200138,51,25000,3000,23,3000,98,100,5,0,50,50
1096200139,50,25200,2944,28,2944,89,100,5,0,50,50
1096200140,50,25500,2889,27,2889,120,100,5,0,50,50
1096200141,50,25900,2944,26,2944,110,100,5,0,50,50
1096200142,50,26100,2944,28,2944,98,100,5,0,50,50
1096200143,50,26300,2972,26,2972,118,100,5,0,50,50
1096200144,51,26800,2991,22,2991,117,100,5,0,50,50
1096200145,50,27000,3000,26,3000,77,100,5,0,50,50
1096200146,49,27400,2917,33,2917,149,100,5,0,50,50
1096200147,49,27600,2944,25,2944,95,100,5,0,50,50
1096200148,50,27800,3028,23,3028,107,100,5,0,50,50
