name,type,start_time,duration,"identifier","num_data_bytes","crc","ack","data"
"CAN","identifier_field",2024-09-25T12:18:53.410243400+00:00,0.00006,0x0000000000000300,,,,
"CAN","control_field",2024-09-25T12:18:53.410307400+00:00,0.000012,,0x0000000000000008,,,
"CAN","data_field",2024-09-25T12:18:53.410323400+00:00,0.000032,,,,,0x03
"CAN","data_field",2024-09-25T12:18:53.410359400+00:00,0.000028,,,,,0x5A
"CAN","data_field",2024-09-25T12:18:53.410391400+00:00,0.000028,,,,,0x64
"CAN","data_field",2024-09-25T12:18:53.410423400+00:00,0.000028,,,,,0x5A
"CAN","data_field",2024-09-25T12:18:53.410455400+00:00,0.000028,,,,,0x32
"CAN","data_field",2024-09-25T12:18:53.410487400+00:00,0.000032,,,,,0x00
"CAN","data_field",2024-09-25T12:18:53.410523400+00:00,0.000032,,,,,0x32
"CAN","data_field",2024-09-25T12:18:53.410559400+00:00,0.000028,,,,,0xBD
"CAN","crc_field",2024-09-25T12:18:53.410591400+00:00,0.000056,,,0x0000000000005B97,,
"CAN","ack_field",2024-09-25T12:18:53.410655400+00:00,0.000004,,,,true,
"CAN","identifier_field",2024-09-25T12:18:53.410707900+00:00,0.000056,0x0000000000000301,,,,
"CAN","control_field",2024-09-25T12:18:53.410767900+00:00,0.000016,,0x0000000000000003,,,
"CAN","data_field",2024-09-25T12:18:53.410787900+00:00,0.000028,,,,,0x4E
"CAN","data_field",2024-09-25T12:18:53.410819900+00:00,0.000032,,,,,0x0D
"CAN","data_field",2024-09-25T12:18:53.410855900+00:00,0.000032,,,,,0x00
"CAN","crc_field",2024-09-25T12:18:53.410891900+00:00,0.00006,,,0x000000000000581C,,
"CAN","ack_field",2024-09-25T12:18:53.410959900+00:00,0.000004,,,,true,
"CAN","identifier_field",2024-09-25T12:18:53.460248900+00:00,0.00006,0x0000000000000300,,,,
"CAN","control_field",2024-09-25T12:18:53.460312900+00:00,0.000012,,0x0000000000000008,,,
"CAN","data_field",2024-09-25T12:18:53.460328900+00:00,0.000032,,,,,0x03
"CAN","data_field",2024-09-25T12:18:53.460364900+00:00,0.000028,,,,,0x5A
"CAN","data_field",2024-09-25T12:18:53.460396900+00:00,0.000028,,,,,0x64
"CAN","data_field",2024-09-25T12:18:53.460428900+00:00,0.000028,,,,,0x5A
"CAN","data_field",2024-09-25T12:18:53.460460900+00:00,0.000028,,,,,0x32
"CAN","data_field",2024-09-25T12:18:53.460492900+00:00,0.000032,,,,,0x00
"CAN","data_field",2024-09-25T12:18:53.460528900+00:00,0.000032,,,,,0x32
"CAN","data_field",2024-09-25T12:18:53.460564900+00:00,0.000032,,,,,0xBE
"CAN","crc_field",2024-09-25T12:18:53.460600900+00:00,0.000056,,,0x00000000000050A5,,
"CAN","ack_field",2024-09-25T12:18:53.460664900+00:00,0.000004,,,,true,
"CAN","identifier_field",2024-09-25T12:18:53.460716900+00:00,0.000056,0x0000000000000301,,,,
"CAN","control_field",2024-09-25T12:18:53.460776900+00:00,0.000016,,0x0000000000000003,,,
"CAN","data_field",2024-09-25T12:18:53.460796900+00:00,0.000028,,,,,0x1D
"CAN","data_field",2024-09-25T12:18:53.460828900+00:00,0.000028,,,,,0x0E
"CAN","data_field",2024-09-25T12:18:53.460860900+00:00,0.000032,,,,,0x00
"CAN","crc_field",2024-09-25T12:18:53.460896900+00:00,0.00006,,,0x00000000000060D7,,
"CAN","ack_field",2024-09-25T12:18:53.460964900+00:00,0.000004,,,,true,
"CAN","identifier_field",2024-09-25T12:18:53.510254900+00:00,0.00006,0x0000000000000300,,,,
"CAN","control_field",2024-09-25T12:18:53.510318900+00:00,0.000012,,0x0000000000000008,,,
"CAN","data_field",2024-09-25T12:18:53.510334900+00:00,0.000032,,,,,0x03
"CAN","data_field",2024-09-25T12:18:53.510370900+00:00,0.000028,,,,,0x5A
"CAN","data_field",2024-09-25T12:18:53.510402900+00:00,0.000028,,,,,0x64
"CAN","data_field",2024-09-25T12:18:53.510434900+00:00,0.000028,,,,,0x5A
"CAN","data_field",2024-09-25T12:18:53.510466900+00:00,0.000028,,,,,0x32
"CAN","data_field",2024-09-25T12:18:53.510498900+00:00,0.000032,,,,,0x00
"CAN","data_field",2024-09-25T12:18:53.510534900+00:00,0.000032,,,,,0x32
"CAN","data_field",2024-09-25T12:18:53.510570900+00:00,0.000032,,,,,0xBF
"CAN","crc_field",2024-09-25T12:18:53.510606900+00:00,0.000056,,,0x000000000000153C,,
"CAN","ack_field",2024-09-25T12:18:53.510670900+00:00,0.000004,,,,true,
"CAN","identifier_field",2024-09-25T12:18:53.510722900+00:00,0.000056,0x0000000000000301,,,,
"CAN","control_field",2024-09-25T12:18:53.510782900+00:00,0.000016,,0x0000000000000003,,,
"CAN","data_field",2024-09-25T12:18:53.510802900+00:00,0.000032,,,,,0xE8
"CAN","data_field",2024-09-25T12:18:53.510838900+00:00,0.000032,,,,,0x0F
"CAN","data_field",2024-09-25T12:18:53.510874900+00:00,0.000032,,,,,0x00
"CAN","crc_field",2024-09-25T12:18:53.510910900+00:00,0.000056,,,0x00000000000077B9,,
"CAN","ack_field",2024-09-25T12:18:53.510974900+00:00,0.000004,,,,true,
"CAN","identifier_field",2024-09-25T12:18:53.560259900+00:00,0.00006,0x0000000000000300,,,,
"CAN","control_field",2024-09-25T12:18:53.560323900+00:00,0.000012,,0x0000000000000008,,,
"CAN","data_field",2024-09-25T12:18:53.560339900+00:00,0.000032,,,,,0x03
"CAN","data_field",2024-09-25T12:18:53.560375900+00:00,0.000028,,,,,0x5A
"CAN","data_field",2024-09-25T12:18:53.560407900+00:00,0.000028,,,,,0x64
"CAN","data_field",2024-09-25T12:18:53.560439900+00:00,0.000028,,,,,0x5A
"CAN","data_field",2024-09-25T12:18:53.560471900+00:00,0.000028,,,,,0x32
"CAN","data_field",2024-09-25T12:18:53.560503900+00:00,0.000032,,,,,0x00
"CAN","data_field",2024-09-25T12:18:53.560539900+00:00,0.000032,,,,,0x32
"CAN","data_field",2024-09-25T12:18:53.560575900+00:00,0.000028,,,,,0x70
"CAN","crc_field",2024-09-25T12:18:53.560607900+00:00,0.000056,,,0x0000000000006310,,
"CAN","ack_field",2024-09-25T12:18:53.560671900+00:00,0.000004,,,,true,
"CAN","identifier_field",2024-09-25T12:18:53.560723900+00:00,0.000056,0x0000000000000301,,,,
"CAN","control_field",2024-09-25T12:18:53.560783900+00:00,0.000016,,0x0000000000000003,,,
"CAN","data_field",2024-09-25T12:18:53.560803900+00:00,0.000032,,,,,0xE2
"CAN","data_field",2024-09-25T12:18:53.560839900+00:00,0.000032,,,,,0x00
"CAN","data_field",2024-09-25T12:18:53.560875900+00:00,0.000036,,,,,0x00
"CAN","crc_field",2024-09-25T12:18:53.560915900+00:00,0.000056,,,0x0000000000002F6A,,
"CAN","ack_field",2024-09-25T12:18:53.560979900+00:00,0.000004,,,,true,
"CAN","identifier_field",2024-09-25T12:18:53.610266900+00:00,0.00006,0x0000000000000300,,,,
"CAN","control_field",2024-09-25T12:18:53.610330900+00:00,0.000012,,0x0000000000000008,,,
"CAN","data_field",2024-09-25T12:18:53.610346900+00:00,0.000032,,,,,0x03
"CAN","data_field",2024-09-25T12:18:53.610382900+00:00,0.000028,,,,,0x5A
"CAN","data_field",2024-09-25T12:18:53.610414900+00:00,0.000028,,,,,0x64
"CAN","data_field",2024-09-25T12:18:53.610446900+00:00,0.000028,,,,,0x5A
"CAN","data_field",2024-09-25T12:18:53.610478900+00:00,0.000028,,,,,0x32
"CAN","data_field",2024-09-25T12:18:53.610510900+00:00,0.000032,,,,,0x00
"CAN","data_field",2024-09-25T12:18:53.610546900+00:00,0.000032,,,,,0x32
"CAN","data_field",2024-09-25T12:18:53.610582900+00:00,0.000028,,,,,0x71
"CAN","crc_field",2024-09-25T12:18:53.610614900+00:00,0.000056,,,0x0000000000002689,,
"CAN","ack_field",2024-09-25T12:18:53.610678900+00:00,0.000004,,,,true,
"CAN","identifier_field",2024-09-25T12:18:53.610731400+00:00,0.000056,0x0000000000000301,,,,
"CAN","control_field",2024-09-25T12:18:53.610791400+00:00,0.000016,,0x0000000000000003,,,
"CAN","data_field",2024-09-25T12:18:53.610811400+00:00,0.000028,,,,,0xB3
"CAN","data_field",2024-09-25T12:18:53.610843400+00:00,0.000032,,,,,0x01
"CAN","data_field",2024-09-25T12:18:53.610879400+00:00,0.000032,,,,,0x00
"CAN","crc_field",2024-09-25T12:18:53.610915400+00:00,0.00006,,,0x0000000000007FC5,,
"CAN","ack_field",2024-09-25T12:18:53.610983400+00:00,0.000004,,,,true,
"CAN","identifier_field",2024-09-25T12:18:53.660272400+00:00,0.00006,0x0000000000000300,,,,
"CAN","control_field",2024-09-25T12:18:53.660336400+00:00,0.000012,,0x0000000000000008,,,
"CAN","data_field",2024-09-25T12:18:53.660352400+00:00,0.000032,,,,,0x03
"CAN","data_field",2024-09-25T12:18:53.660388400+00:00,0.000028,,,,,0x5A
"CAN","data_field",2024-09-25T12:18:53.660420400+00:00,0.000028,,,,,0x64
"CAN","data_field",2024-09-25T12:18:53.660452400+00:00,0.000028,,,,,0x5A
"CAN","data_field",2024-09-25T12:18:53.660484400+00:00,0.000028,,,,,0x32
"CAN","data_field",2024-09-25T12:18:53.660516400+00:00,0.000032,,,,,0x00
"CAN","data_field",2024-09-25T12:18:53.660552400+00:00,0.000032,,,,,0x32
"CAN","data_field",2024-09-25T12:18:53.660588400+00:00,0.000028,,,,,0x72
"CAN","crc_field",2024-09-25T12:18:53.660620400+00:00,0.000056,,,0x0000000000002DBB,,
"CAN","ack_field",2024-09-25T12:18:53.660684400+00:00,0.000004,,,,true,
"CAN","identifier_field",2024-09-25T12:18:53.660736400+00:00,0.000056,0x0000000000000301,,,,
"CAN","control_field",2024-09-25T12:18:53.660796400+00:00,0.000016,,0x0000000000000003,,,
"CAN","data_field",2024-09-25T12:18:53.660816400+00:00,0.000028,,,,,0x6B
"CAN","data_field",2024-09-25T12:18:53.660848400+00:00,0.000032,,,,,0x02
"CAN","data_field",2024-09-25T12:18:53.660884400+00:00,0.000032,,,,,0x00
"CAN","crc_field",2024-09-25T12:18:53.660920400+00:00,0.000056,,,0x0000000000004E8A,,
"CAN","ack_field",2024-09-25T12:18:53.660984400+00:00,0.000004,,,,true,
"CAN","identifier_field",2024-09-25T12:18:53.710278400+00:00,0.00006,0x0000000000000300,,,,
"CAN","control_field",2024-09-25T12:18:53.710342400+00:00,0.000012,,0x0000000000000008,,,
"CAN","data_field",2024-09-25T12:18:53.710358400+00:00,0.000032,,,,,0x03
"CAN","data_field",2024-09-25T12:18:53.710394400+00:00,0.000028,,,,,0x5A
"CAN","data_field",2024-09-25T12:18:53.710426400+00:00,0.000028,,,,,0x64
"CAN","data_field",2024-09-25T12:18:53.710458400+00:00,0.000028,,,,,0x5A
"CAN","data_field",2024-09-25T12:18:53.710490400+00:00,0.000028,,,,,0x32
"CAN","data_field",2024-09-25T12:18:53.710522400+00:00,0.000032,,,,,0x00
"CAN","data_field",2024-09-25T12:18:53.710558400+00:00,0.000032,,,,,0x32
"CAN","data_field",2024-09-25T12:18:53.710594400+00:00,0.000028,,,,,0x73
"CAN","crc_field",2024-09-25T12:18:53.710626400+00:00,0.00006,,,0x0000000000006822,,
"CAN","ack_field",2024-09-25T12:18:53.710694400+00:00,0.000004,,,,true,
"CAN","identifier_field",2024-09-25T12:18:53.710746400+00:00,0.000056,0x0000000000000301,,,,
"CAN","control_field",2024-09-25T12:18:53.710806400+00:00,0.000016,,0x0000000000000003,,,
"CAN","data_field",2024-09-25T12:18:53.710826400+00:00,0.000028,,,,,0x96
"CAN","data_field",2024-09-25T12:18:53.710858400+00:00,0.000032,,,,,0x03
"CAN","data_field",2024-09-25T12:18:53.710894400+00:00,0.000032,,,,,0x00
"CAN","crc_field",2024-09-25T12:18:53.710930400+00:00,0.00006,,,0x0000000000000AB9,,
"CAN","ack_field",2024-09-25T12:18:53.710998400+00:00,0.000004,,,,true,
"CAN","identifier_field",2024-09-25T12:18:53.760283900+00:00,0.00006,0x0000000000000300,,,,
"CAN","control_field",2024-09-25T12:18:53.760347900+00:00,0.000012,,0x0000000000000008,,,
