Timestamp,IsSPI,ID,IsExtended,IsRemote,Length,D1,D2,D3,D4,D5,D6,D7,D8
0.047105,,300,,,8,03,5A,64,5A,50,00,50,FC
0.047577,,301,,,3,B5,0C,00,,,,,
0.097112,,300,,,8,03,5A,64,5A,50,00,50,FD
0.09758,,301,,,3,4E,0D,00,,,,,
0.147116,,300,,,8,03,5A,64,5A,50,00,50,DE
0.14758,,301,,,3,1D,0E,00,,,,,
0.197122,,300,,,8,03,5A,64,5A,50,00,50,DF
0.197598,,301,,,3,E8,0F,00,,,,,
0.247129,,300,,,8,03,5A,64,5A,50,00,50,70
0.247601,,301,,,3,E2,00,00,,,,,
0.297911,,300,,,8,03,5A,64,5A,50,00,50,71
0.298383,,301,,,3,B3,01,00,,,,,
0.347139,,300,,,8,03,5A,64,5A,50,00,50,52
0.347611,,301,,,3,6B,02,00,,,,,
0.397146,,300,,,8,03,5A,64,5A,50,00,50,53
0.397614,,301,,,3,96,03,00,,,,,
0.447148,,300,,,8,03,5A,64,5A,50,00,50,74
0.447616,,301,,,3,03,04,00,,,,,
0.497155,,300,,,8,03,5A,64,5A,50,00,50,75
0.497623,,301,,,3,54,05,00,,,,,
0.547156,,300,,,8,03,5A,64,5A,50,00,50,56
0.547625,,301,,,3,F5,06,00,,,,,
0.597163,,300,,,8,03,5A,64,5A,50,00,50,57
0.597635,,301,,,3,B8,07,00,,,,,
0.64717,,300,,,8,03,5A,64,5A,50,00,50,F8
0.647646,,301,,,3,80,08,00,,,,,
0.697173,,300,,,8,03,5A,64,5A,50,00,50,F9
0.697641,,301,,,3,88,09,00,,,,,
0.74718,,300,,,8,03,5A,64,5A,50,00,50,DA
0.747645,,301,,,3,C6,0A,00,,,,,
0.797183,,300,,,8,03,5A,64,5A,50,00,50,DB
0.797659,,301,,,3,43,0B,00,,,,,
0.848193,,300,,,8,03,5A,64,5A,50,00,50,FC
0.848665,,301,,,3,B5,0C,00,,,,,
0.898195,,300,,,8,03,5A,64,5A,50,00,50,FD
0.898663,,301,,,3,4E,0D,00,,,,,
0.948201,,300,,,8,03,5A,64,5A,50,00,50,DE
0.948665,,301,,,3,1D,0E,00,,,,,
0.998206,,300,,,8,03,5A,64,5A,50,00,50,DF
0.998682,,301,,,3,E8,0F,00,,,,,
1.048214,,300,,,8,03,5A,64,5A,50,00,50,70
1.048686,,301,,,3,E2,00,00,,,,,
1.098216,,300,,,8,03,5A,64,5A,50,00,50,71
1.098688,,301,,,3,B3,01,00,,,,,
1.148221,,300,,,8,03,5A,64,5A,50,00,50,52
1.148693,,301,,,3,6B,02,00,,,,,
1.198228,,300,,,8,03,5A,64,5A,50,00,50,53
1.198696,,301,,,3,96,03,00,,,,,
1.248234,,300,,,8,03,5A,64,5A,50,00,50,74
1.248702,,301,,,3,03,04,00,,,,,
1.299016,,300,,,8,03,5A,64,5A,50,00,50,75
1.299484,,301,,,3,54,05,00,,,,,
1.348245,,300,,,8,03,5A,64,5A,50,00,50,56
1.348713,,301,,,3,F5,06,00,,,,,
1.398251,,300,,,8,03,5A,64,5A,50,00,50,57
1.398723,,301,,,3,B8,07,00,,,,,
1.448366,,300,,,8,03,5A,64,5A,50,00,50,F8
1.448842,,301,,,3,80,08,00,,,,,
1.49826,,300,,,8,03,5A,64,5A,50,00,50,F9
1.498728,,301,,,3,88,09,00,,,,,
1.548619,,300,,,8,03,5A,64,5A,50,00,50,DA
1.549083,,301,,,3,C6,0A,00,,,,,
1.598269,,300,,,8,03,5A,64,5A,50,00,50,DB
1.598745,,301,,,3,43,0B,00,,,,,
1.648276,,300,,,8,03,5A,64,5A,50,00,50,FC
