Timestamp,IsMotorToTCU,ID,IsExtended,IsRemote,Length,D1,D2,D3,D4,D5,D6,D7,D8
41142,0,300,0,0,8,0,5a,64,5a,0,0,a,2c
41143,0,301,0,0,3,b5,c,0
41146,1,201,0,0,6,0,0,0,0,2,0
41149,1,400,0,0,8,1,0,4c,0,0,0,0,0
41158,1,203,0,0,8,0,0,0,0,0,0,0,0
41192,0,300,0,0,8,0,5a,64,5a,0,0,a,3d
41193,0,301,0,0,3,4e,d,0
41229,1,401,0,0,8,62,a0,0,0,50,0,0,0
41242,0,300,0,0,8,0,5a,64,5a,0,0,a,e
41243,0,301,0,0,3,1d,e,0
41246,1,201,0,0,6,0,0,0,0,2,0
41249,1,400,0,0,8,1,0,4c,0,0,0,0,0
41258,1,203,0,0,8,0,0,0,0,0,0,0,0
41292,0,300,0,0,8,0,5a,64,5a,0,0,a,1f
41293,0,301,0,0,3,e8,f,0
41329,1,401,0,0,8,64,a0,0,0,50,0,0,0
41342,0,300,0,0,8,0,5a,64,5a,0,0,a,e0
41343,0,301,0,0,3,e2,0,0
41346,1,201,0,0,6,0,0,0,0,2,0
41349,1,400,0,0,8,1,0,4c,0,0,0,0,0
41358,1,203,0,0,8,0,0,0,0,0,0,0,0
41392,0,300,0,0,8,0,5a,64,5a,0,0,a,f1
41393,0,301,0,0,3,b3,1,0
41409,1,403,0,0,8,63,0,0,0,20,e2,9,0
41429,1,401,0,0,8,64,a0,0,0,50,0,0,0
41442,0,300,0,0,8,0,5a,64,5a,0,0,a,c2
41443,0,301,0,0,3,6b,2,0
41446,1,201,0,0,6,0,0,0,0,2,0
41449,1,400,0,0,8,1,0,4c,0,0,0,0,0
41458,1,203,0,0,8,0,0,0,0,0,0,0,0
41492,0,300,0,0,8,0,5a,64,5a,0,0,a,d3
41493,0,301,0,0,3,96,3,0
41529,1,401,0,0,8,62,a0,0,0,50,0,0,0
41542,0,300,0,0,8,0,5a,64,5a,0,0,a,a4
41543,0,301,0,0,3,3,4,0
41546,1,201,0,0,6,0,0,0,0,2,0
41549,1,400,0,0,8,1,0,4c,0,0,0,0,0
41558,1,203,0,0,8,0,0,0,0,0,0,0,0
41592,0,300,0,0,8,0,5a,64,5a,0,0,a,b5
41593,0,301,0,0,3,54,5,0
41630,1,401,0,0,8,62,a0,0,0,50,0,0,0
41642,0,300,0,0,8,0,5a,64,5a,0,0,a,86
41643,0,301,0,0,3,f5,6,0
41646,1,201,0,0,6,0,0,0,0,2,0
41650,1,400,0,0,8,1,0,4c,0,0,0,0,0
41658,1,203,0,0,8,0,0,0,0,0,0,0,0
41692,0,300,0,0,8,0,5a,64,5a,0,0,a,97
41693,0,301,0,0,3,b8,7,0
41730,1,401,0,0,8,62,a0,0,0,50,0,0,0
41742,0,300,0,0,8,0,5a,64,5a,0,0,a,68
41743,0,301,0,0,3,80,8,0
41746,1,201,0,0,6,0,0,0,0,2,0
41750,1,400,0,0,8,1,0,4c,0,0,0,0,0
41758,1,203,0,0,8,0,0,0,0,0,0,0,0
41792,0,300,0,0,8,0,5a,64,5a,0,0,a,79
41793,0,301,0,0,3,88,9,0
41830,1,401,0,0,8,64,a0,0,0,50,0,0,0
41842,0,300,0,0,8,0,5a,64,5a,0,0,a,4a
41843,0,301,0,0,3,c6,a,0
41846,1,201,0,0,6,0,0,0,0,2,0
41850,1,400,0,0,8,1,0,4c,0,0,0,0,0
41858,1,203,0,0,8,0,0,0,0,0,0,0,0
41892,0,300,0,0,8,0,5a,64,5a,0,0,a,5b
41893,0,301,0,0,3,43,b,0
41910,1,402,0,0,8,64,0,0,0,8,df,9,0
41930,1,401,0,0,8,64,a0,0,0,50,0,0,0
41942,0,300,0,0,8,0,5a,64,5a,0,0,a,2c
41944,0,301,0,0,3,b5,c,0
41946,1,201,0,0,6,0,0,0,0,2,0
41950,1,400,0,0,8,1,0,4c,0,0,0,0,0
41958,1,203,0,0,8,0,0,0,0,0,0,0,0
41970,1,204,0,0,8,0,0,0,0,0,0,0,0
41982,1,202,0,0,8,e2,15,0,0,9,fe,1a,0
41992,0,300,0,0,8,0,5a,64,5a,0,0,a,3d
41993,0,301,0,0,3,4e,d,0
41994,1,666,0,0,8,52,8,1,5,52,57,12,44
42006,1,665,0,0,8,0,0,0,53,4c,18,53,0
42018,1,200,0,0,8,64,0,8,df,9,0,1,0
42030,1,401,0,0,8,64,a0,0,0,50,0,0,0
42042,0,300,0,0,8,0,5a,64,5a,0,0,a,e
42043,0,301,0,0,3,1d,e,0
42046,1,201,0,0,6,0,0,0,0,2,0
42050,1,400,0,0,8,1,0,4c,0,0,0,0,0
42058,1,203,0,0,8,0,0,0,0,0,0,0,0
42092,0,300,0,0,8,0,5a,64,5a,0,0,a,1f
42093,0,301,0,0,3,e8,f,0
42130,1,401,0,0,8,64,a0,0,0,50,0,0,0
42142,0,300,0,0,8,0,5a,64,5a,0,0,a,e0
42143,0,301,0,0,3,e2,0,0
42146,1,201,0,0,6,0,0,0,0,2,0
42150,1,400,0,0,8,1,0,4c,0,0,0,0,0
42158,1,203,0,0,8,0,0,0,0,0,0,0,0
42192,0,300,0,0,8,0,5a,64,5a,0,0,a,f1
42194,0,301,0,0,3,b3,1,0
42230,1,401,0,0,8,64,a0,0,0,50,0,0,0
42242,0,300,0,0,8,0,5a,64,5a,0,0,a,c2
42243,0,301,0,0,3,6b,2,0
42246,1,201,0,0,6,0,0,0,0,2,0
42250,1,400,0,0,8,1,0,4c,0,0,0,0,0
42258,1,203,0,0,8,0,0,0,0,0,0,0,0
42292,0,300,0,0,8,0,5a,64,5a,0,0,a,d3
42293,0,301,0,0,3,96,3,0
42330,1,401,0,0,8,64,a0,0,0,50,0,0,0
42342,0,300,0,0,8,0,5a,64,5a,0,0,a,a4
42343,0,301,0,0,3,3,4,0
42346,1,201,0,0,6,0,0,0,0,2,0
42350,1,400,0,0,8,1,0,4c,0,0,0,0,0
42358,1,203,0,0,8,0,0,0,0,0,0,0,0
42392,0,300,0,0,8,0,5a,64,5a,0,0,a,b5
42393,0,301,0,0,3,54,5,0
42410,1,403,0,0,8,63,0,0,0,20,e2,9,0
42430,1,401,0,0,8,64,a0,0,0,50,0,0,0
42443,0,300,0,0,8,0,5a,64,5a,0,0,a,86
42443,0,301,0,0,3,f5,6,0
42446,1,201,0,0,6,0,0,0,0,2,0
42450,1,400,0,0,8,1,0,4c,0,0,0,0,0
42458,1,203,0,0,8,0,0,0,0,0,0,0,0
42492,0,300,0,0,8,0,5a,64,5a,0,0,a,97
42493,0,301,0,0,3,b8,7,0
42531,1,401,0,0,8,64,a0,0,0,50,0,0,0
42542,0,300,0,0,8,0,5a,64,5a,0,0,a,68
42543,0,301,0,0,3,80,8,0
42546,1,201,0,0,6,0,0,0,0,2,0
42551,1,400,0,0,8,1,0,4c,0,0,0,0,0
42558,1,203,0,0,8,0,0,0,0,0,0,0,0
42592,0,300,0,0,8,0,5a,64,5a,0,0,a,79
42593,0,301,0,0,3,88,9,0
42631,1,401,0,0,8,64,a0,0,0,50,0,0,0
42642,0,300,0,0,8,0,5a,64,5a,0,0,a,4a
42643,0,301,0,0,3,c6,a,0
42646,1,201,0,0,6,0,0,0,0,2,0
42651,1,400,0,0,8,1,0,4c,0,0,0,0,0
42658,1,203,0,0,8,0,0,0,0,0,0,0,0
42693,0,300,0,0,8,0,5a,64,5a,0,0,a,5b
42693,0,301,0,0,3,43,b,0
42731,1,401,0,0,8,64,a0,0,0,50,0,0,0
42742,0,300,0,0,8,0,5a,64,5a,0,0,a,2c
42743,0,301,0,0,3,b5,c,0
42746,1,201,0,0,6,0,0,0,0,2,0
42751,1,400,0,0,8,1,0,4c,0,0,0,0,0
42758,1,203,0,0,8,0,0,0,0,0,0,0,0
42792,0,300,0,0,8,0,5a,64,5a,0,0,a,3d
42793,0,301,0,0,3,4e,d,0
42831,1,401,0,0,8,62,a0,0,0,50,0,0,0
42842,0,300,0,0,8,0,5a,64,5a,0,0,a,e
42843,0,301,0,0,3,1d,e,0
42846,1,201,0,0,6,0,0,0,0,2,0
42851,1,400,0,0,8,1,0,4c,0,0,0,0,0
42858,1,203,0,0,8,0,0,0,0,0,0,0,0
42892,0,300,0,0,8,0,5a,64,5a,0,0,a,1f
42893,0,301,0,0,3,e8,f,0
42911,1,402,0,0,8,64,0,0,0,8,df,9,0
42931,1,401,0,0,8,62,a0,0,0,50,0,0,0
42943,0,300,0,0,8,0,5a,64,5a,0,0,a,e0
42943,0,301,0,0,3,e2,0,0
42946,1,201,0,0,6,0,0,0,0,2,0
42951,1,400,0,0,8,1,0,4c,0,0,0,0,0
42958,1,203,0,0,8,0,0,0,0,0,0,0,0
42970,1,204,0,0,8,0,0,0,0,0,0,0,0
42982,1,202,0,0,8,e2,16,0,0,9,fe,1a,0
42992,0,300,0,0,8,0,5a,64,5a,0,0,a,f1
42993,0,301,0,0,3,b3,1,0
43031,1,401,0,0,8,64,a0,0,0,50,0,0,0
43042,0,300,0,0,8,0,5a,64,5a,0,0,a,c2
43043,0,301,0,0,3,6b,2,0
43046,1,201,0,0,6,0,0,0,0,2,0
43051,1,400,0,0,8,1,0,4c,0,0,0,0,0
43058,1,203,0,0,8,0,0,0,0,0,0,0,0
43092,0,300,0,0,8,0,5a,64,5a,0,0,a,d3
43093,0,301,0,0,3,96,3,0
43131,1,401,0,0,8,64,a0,0,0,50,0,0,0
43142,0,300,0,0,8,0,5a,64,5a,0,0,a,a4
43143,0,301,0,0,3,3,4,0
43146,1,201,0,0,6,0,0,0,0,2,0
43151,1,400,0,0,8,1,0,4c,0,0,0,0,0
43158,1,203,0,0,8,0,0,0,0,0,0,0,0
43192,0,300,0,0,8,0,5a,64,5a,0,0,a,b5
43194,0,301,0,0,3,54,5,0
43231,1,401,0,0,8,64,a0,0,0,50,0,0,0
43242,0,300,0,0,8,0,5a,64,5a,0,0,a,86
43243,0,301,0,0,3,f5,6,0
43246,1,201,0,0,6,0,0,0,0,2,0
43251,1,400,0,0,8,1,0,4c,0,0,0,0,0
43258,1,203,0,0,8,0,0,0,0,0,0,0,0
43292,0,300,0,0,8,0,5a,64,5a,0,0,a,97
43293,0,301,0,0,3,b8,7,0
43331,1,401,0,0,8,62,a0,0,0,50,0,0,0
43342,0,300,0,0,8,0,5a,64,5a,0,0,a,68
43343,0,301,0,0,3,80,8,0
43346,1,201,0,0,6,0,0,0,0,2,0
43351,1,400,0,0,8,1,0,4c,0,0,0,0,0
43358,1,203,0,0,8,0,0,0,0,0,0,0,0
43392,0,300,0,0,8,0,5a,64,5a,0,0,a,79
43393,0,301,0,0,3,88,9,0
43412,1,403,0,0,8,63,0,0,0,20,e2,9,0
43432,1,401,0,0,8,62,a0,0,0,50,0,0,0
43442,0,300,0,0,8,0,5a,64,5a,0,0,a,4a
43444,0,301,0,0,3,c6,a,0
43446,1,201,0,0,6,0,0,0,0,2,0
43452,1,400,0,0,8,1,0,4c,0,0,0,0,0
43458,1,203,0,0,8,0,0,0,0,0,0,0,0
43492,0,300,0,0,8,0,5a,64,5a,0,0,a,5b
43493,0,301,0,0,3,43,b,0
43532,1,401,0,0,8,64,a0,0,0,50,0,0,0
43542,0,300,0,0,8,0,5a,64,5a,0,0,a,2c
43543,0,301,0,0,3,b5,c,0
43546,1,201,0,0,6,0,0,0,0,2,0
43552,1,400,0,0,8,1,0,4c,0,0,0,0,0
43558,1,203,0,0,8,0,0,0,0,0,0,0,0
43592,0,300,0,0,8,0,5a,64,5a,0,0,a,3d
43594,0,301,0,0,3,4e,d,0
43632,1,401,0,0,8,64,a0,0,0,50,0,0,0
43642,0,300,0,0,8,0,5a,64,5a,0,0,a,e
43643,0,301,0,0,3,1d,e,0
43646,1,201,0,0,6,0,0,0,0,2,0
43652,1,400,0,0,8,1,0,4c,0,0,0,0,0
43658,1,203,0,0,8,0,0,0,0,0,0,0,0
43692,0,300,0,0,8,0,5a,64,5a,0,0,a,1f
43694,0,301,0,0,3,e8,f,0
43732,1,401,0,0,8,64,a0,0,0,50,0,0,0
43742,0,300,0,0,8,0,5a,64,5a,0,0,a,e0
43743,0,301,0,0,3,e2,0,0
43746,1,201,0,0,6,0,0,0,0,2,0
43752,1,400,0,0,8,1,0,4c,0,0,0,0,0
43758,1,203,0,0,8,0,0,0,0,0,0,0,0
43792,0,300,0,0,8,0,5a,64,5a,0,0,a,f1
43793,0,301,0,0,3,b3,1,0
43832,1,401,0,0,8,62,a0,0,0,50,0,0,0
43843,0,300,0,0,8,0,5a,64,5a,0,0,a,c2
