Timestamp,IsSPI,ID,IsExtended,IsRemote,Length,D1,D2,D3,D4,D5,D6,D7,D8
113603,1,203,0,0,8,0,0,0,0,0,0,0,0
113616,0,300,0,0,8,3,5a,64,5a,64,0,64,36
113617,0,301,0,0,3,f5,6,0
113666,0,300,0,0,8,3,5a,64,5a,64,0,64,27
113667,0,301,0,0,3,b8,7,0
113667,1,401,0,0,8,7c,a0,0,0,55,0,0,0
113687,1,400,0,0,8,1,0,4c,0,0,0,0,0
113691,1,201,0,0,6,0,0,0,0,62,0
113703,1,203,0,0,8,0,0,0,0,0,0,0,0
113716,0,300,0,0,8,3,5a,64,5a,64,0,64,b8
113717,0,301,0,0,3,80,8,0
113747,1,403,0,0,8,63,0,0,0,20,e2,9,0
113766,0,300,0,0,8,3,5a,64,5a,64,0,64,a9
113767,0,301,0,0,3,88,9,0
113767,1,401,0,0,8,7c,a0,0,0,55,0,0,0
113787,1,400,0,0,8,1,0,4c,0,0,0,0,0
113791,1,201,0,0,6,0,0,0,0,62,0
113803,1,203,0,0,8,0,0,0,0,0,0,0,0
113816,0,300,0,0,8,3,5a,64,5a,64,0,64,ba
113817,0,301,0,0,3,c6,a,0
113866,0,300,0,0,8,3,5a,64,5a,64,0,64,ab
113867,0,301,0,0,3,43,b,0
113867,1,401,0,0,8,7c,a0,0,0,55,0,0,0
113887,1,400,0,0,8,1,0,4c,0,0,0,0,0
113891,1,201,0,0,6,0,0,0,0,62,0
113903,1,203,0,0,8,0,0,0,0,0,0,0,0
113916,0,300,0,0,8,3,5a,64,5a,64,0,64,bc
113917,0,301,0,0,3,b5,c,0
113966,0,300,0,0,8,3,5a,64,5a,64,0,64,ad
113967,0,301,0,0,3,4e,d,0
113967,1,401,0,0,8,7c,a0,0,0,55,0,0,0
113987,1,400,0,0,8,1,0,4c,0,0,0,0,0
113991,1,201,0,0,6,0,0,0,0,62,0
114003,1,203,0,0,8,0,0,0,0,0,0,0,0
114016,0,300,0,0,8,3,5a,64,5a,64,0,64,be
114017,0,301,0,0,3,1d,e,0
114066,0,300,0,0,8,3,5a,64,5a,64,0,64,af
114067,0,301,0,0,3,e8,f,0
114067,1,401,0,0,8,7c,a0,0,0,55,0,0,0
114087,1,400,0,0,8,1,0,4c,0,0,0,0,0
114091,1,201,0,0,6,0,0,0,0,62,0
114103,1,203,0,0,8,0,0,0,0,0,0,0,0
114116,0,300,0,0,8,3,5a,64,5a,64,0,64,30
114117,0,301,0,0,3,e2,0,0
114166,0,300,0,0,8,3,5a,64,5a,64,0,64,21
114167,0,301,0,0,3,b3,1,0
114167,1,401,0,0,8,7c,a0,0,0,55,0,0,0
114187,1,400,0,0,8,1,0,4c,0,0,0,0,0
114191,1,201,0,0,6,0,0,0,0,62,0
114203,1,203,0,0,8,0,0,0,0,0,0,0,0
114216,0,300,0,0,8,3,5a,64,5a,64,0,64,32
114217,0,301,0,0,3,6b,2,0
114247,1,402,0,0,8,64,0,0,0,48,e1,9,0
114266,0,300,0,0,8,3,5a,64,5a,64,0,64,23
114267,0,301,0,0,3,96,3,0
114267,1,401,0,0,8,7c,a0,0,0,55,0,0,0
114287,1,400,0,0,8,1,0,4c,0,0,0,0,0
114291,1,201,0,0,6,0,0,0,0,62,0
114303,1,203,0,0,8,0,0,0,0,0,0,0,0
114316,0,300,0,0,8,3,5a,64,5a,64,0,64,34
114317,0,301,0,0,3,3,4,0
114366,0,300,0,0,8,3,5a,64,5a,64,0,64,25
114367,0,301,0,0,3,54,5,0
114367,1,401,0,0,8,7c,a0,0,0,55,0,0,0
114387,1,400,0,0,8,1,0,4c,0,0,0,0,0
114391,1,201,0,0,6,0,0,0,0,62,0
114403,1,203,0,0,8,0,0,0,0,0,0,0,0
114416,0,300,0,0,8,3,5a,64,5a,64,0,64,36
114417,0,301,0,0,3,f5,6,0
114466,0,300,0,0,8,3,5a,64,5a,64,0,64,27
114467,0,301,0,0,3,b8,7,0
114468,1,401,0,0,8,7c,a0,0,0,55,0,0,0
114488,1,400,0,0,8,1,0,4c,0,0,0,0,0
114491,1,201,0,0,6,0,0,0,0,62,0
114503,1,203,0,0,8,0,0,0,0,0,0,0,0
114515,1,204,0,0,8,0,0,0,0,0,0,0,0
114516,0,300,0,0,8,3,5a,64,5a,64,0,64,b8
114517,0,301,0,0,3,80,8,0
114527,1,202,0,0,8,e2,16,0,0,8e,fd,1a,0
114566,0,300,0,0,8,3,5a,64,5a,64,0,64,a9
114567,0,301,0,0,3,88,9,0
114568,1,401,0,0,8,7c,a0,0,0,55,0,0,0
114588,1,400,0,0,8,1,0,4c,0,0,0,0,0
114591,1,201,0,0,6,0,0,0,0,62,0
114603,1,203,0,0,8,0,0,0,0,0,0,0,0
114616,0,300,0,0,8,3,5a,64,5a,64,0,64,ba
114617,0,301,0,0,3,c6,a,0
114666,0,300,0,0,8,3,5a,64,5a,64,0,64,ab
114667,0,301,0,0,3,43,b,0
114668,1,401,0,0,8,7e,a0,0,0,55,0,0,0
114688,1,400,0,0,8,1,0,4c,0,0,0,0,0
114691,1,201,0,0,6,0,0,0,0,62,0
114703,1,203,0,0,8,0,0,0,0,0,0,0,0
114716,0,300,0,0,8,3,5a,64,5a,64,0,64,bc
114717,0,301,0,0,3,b5,c,0
114748,1,403,0,0,8,63,0,0,0,20,e2,9,0
114766,0,300,0,0,8,3,5a,64,5a,64,0,64,ad
114767,0,301,0,0,3,4e,d,0
114768,1,401,0,0,8,7e,a0,0,0,55,0,0,0
114788,1,400,0,0,8,1,0,4c,0,0,0,0,0
114791,1,201,0,0,6,0,0,0,0,62,0
114803,1,203,0,0,8,0,0,0,0,0,0,0,0
114816,0,300,0,0,8,3,5a,64,5a,64,0,64,be
114817,0,301,0,0,3,1d,e,0
114866,0,300,0,0,8,3,5a,64,5a,64,0,64,af
114867,0,301,0,0,3,e8,f,0
114868,1,401,0,0,8,7e,a0,0,0,55,0,0,0
