Timestamp,IsMotorToTCU,ID,IsExtended,IsRemote,Length,D1,D2,D3,D4,D5,D6,D7,D8
137531,1,202,0,0,8,e2,14,0,0,9d,fd,1a,0
137567,0,300,0,0,8,3,a5,64,5a,64,0,64,65
137568,0,301,0,0,3,54,5,0
137592,1,401,0,0,8,6c,a0,0,0,b1,0,0,0
137595,1,201,0,0,6,90,1,0,0,63,0
137607,1,203,0,0,8,b0,1,0,0,0,0,0,80
137612,1,400,0,0,8,1,0,4c,0,0,0,0,0
137617,0,300,0,0,8,3,a5,64,5a,64,0,64,76
137618,0,301,0,0,3,f5,6,0
137667,0,300,0,0,8,3,a5,64,5a,64,0,64,67
137668,0,301,0,0,3,b8,7,0
137693,1,401,0,0,8,4a,a0,0,0,c6,0,0,0
137695,1,201,0,0,6,90,1,0,0,63,0
137707,1,203,0,0,8,25,1,0,0,0,0,0,80
137713,1,400,0,0,8,1,0,4c,0,0,0,0,0
137717,0,300,0,0,8,3,a5,64,5a,64,0,64,f8
137718,0,301,0,0,3,80,8,0
137767,0,300,0,0,8,3,a5,64,5a,64,0,64,e9
137768,0,301,0,0,3,88,9,0
137773,1,403,0,0,8,63,0,0,0,20,e2,9,0
137793,1,401,0,0,8,4a,a0,0,0,c6,0,0,0
137795,1,201,0,0,6,68,1,0,0,63,0
137807,1,203,0,0,8,32,1,0,0,0,0,0,80
137813,1,400,0,0,8,1,0,4c,0,0,0,0,0
137817,0,300,0,0,8,3,a5,64,5a,64,0,64,fa
137818,0,301,0,0,3,c6,a,0
137867,0,300,0,0,8,3,a5,64,5a,64,0,64,eb
137868,0,301,0,0,3,43,b,0
137893,1,401,0,0,8,46,a0,0,0,b,2,0,0
137895,1,201,0,0,6,68,1,0,0,63,0
137907,1,203,0,0,8,4c,1,0,0,0,0,0,80
137913,1,400,0,0,8,1,0,6c,0,0,0,0,0
137917,0,300,0,0,8,3,a5,64,5a,64,0,64,fc
137918,0,301,0,0,3,b5,c,0
137968,0,300,0,0,8,3,a5,64,5a,64,0,64,ed
137968,0,301,0,0,3,4e,d,0
137993,1,401,0,0,8,46,a0,0,0,b,2,0,0
137995,1,201,0,0,6,4a,1,0,0,63,0
138007,1,203,0,0,8,76,1,0,0,0,0,0,80
138013,1,400,0,0,8,1,0,6c,0,0,0,0,0
138017,0,300,0,0,8,3,a5,64,5a,64,0,64,fe
138018,0,301,0,0,3,1d,e,0
138067,0,300,0,0,8,3,a5,64,5a,64,0,64,ef
138068,0,301,0,0,3,e8,f,0
138093,1,401,0,0,8,46,a0,0,0,b,2,0,0
138095,1,201,0,0,6,4a,1,0,0,63,0
138107,1,203,0,0,8,91,1,0,0,0,0,0,80
138113,1,400,0,0,8,1,0,6c,0,0,0,0,0
138117,0,300,0,0,8,3,a5,64,5a,64,0,64,70
138118,0,301,0,0,3,e2,0,0
138167,0,300,0,0,8,3,a5,64,5a,64,0,64,61
138168,0,301,0,0,3,b3,1,0
138193,1,401,0,0,8,6a,a0,0,0,dc,1,0,0
138195,1,201,0,0,6,36,1,0,0,63,0
138207,1,203,0,0,8,9b,1,0,0,0,0,0,80
138213,1,400,0,0,8,1,0,6c,0,0,0,0,0
138217,0,300,0,0,8,3,a5,64,5a,64,0,64,72
138218,0,301,0,0,3,6b,2,0
138267,0,300,0,0,8,3,a5,64,5a,64,0,64,63
138268,0,301,0,0,3,96,3,0
138273,1,402,0,0,8,64,0,0,0,24,e1,9,0
138293,1,401,0,0,8,6a,a0,0,0,dc,1,0,0
138295,1,201,0,0,6,22,1,0,0,63,0
138307,1,203,0,0,8,9e,1,0,0,0,0,0,80
138313,1,400,0,0,8,1,0,6c,0,0,0,0,0
138317,0,300,0,0,8,3,a5,64,5a,64,0,64,74
138318,0,301,0,0,3,3,4,0
138367,0,300,0,0,8,3,a5,64,5a,64,0,64,65
138368,0,301,0,0,3,54,5,0
138393,1,401,0,0,8,62,a0,0,0,c2,0,0,0
138395,1,201,0,0,6,22,1,0,0,63,0
138407,1,203,0,0,8,a1,1,0,0,0,0,0,80
138413,1,400,0,0,8,1,0,4c,0,0,0,0,0
138417,0,300,0,0,8,3,a5,64,5a,64,0,64,76
138418,0,301,0,0,3,f5,6,0
138467,0,300,0,0,8,3,a5,64,5a,64,0,64,67
138468,0,301,0,0,3,b8,7,0
138493,1,401,0,0,8,62,a0,0,0,c2,0,0,0
138495,1,201,0,0,6,22,1,0,0,63,0
138507,1,203,0,0,8,ab,1,0,0,0,0,0,80
138513,1,400,0,0,8,1,0,4c,0,0,0,0,0
138517,0,300,0,0,8,3,a5,64,5a,64,0,64,f8
138518,0,301,0,0,3,80,8,0
138519,1,204,0,0,8,0,0,0,0,0,0,0,0
138531,1,202,0,0,8,e2,12,0,0,9f,fd,1a,0
138567,0,300,0,0,8,3,a5,64,5a,64,0,64,e9
138568,0,301,0,0,3,88,9,0
138593,1,401,0,0,8,62,a0,0,0,c2,0,0,0
138595,1,201,0,0,6,22,1,0,0,63,0
138607,1,203,0,0,8,b1,1,0,0,0,0,0,80
138614,1,400,0,0,8,1,0,6c,0,0,0,0,0
138617,0,300,0,0,8,3,a5,64,5a,64,0,64,fa
138618,0,301,0,0,3,c6,a,0
138667,0,300,0,0,8,3,a5,64,5a,64,0,64,eb
138668,0,301,0,0,3,43,b,0
138694,1,401,0,0,8,1b,a0,0,0,d0,1,0,0
138695,1,201,0,0,6,22,1,0,0,63,0
138707,1,203,0,0,8,e7,1,0,0,0,0,0,80
138714,1,400,0,0,8,1,0,6c,0,0,0,0,0
138717,0,300,0,0,8,3,a5,64,5a,64,0,64,fc
138718,0,301,0,0,3,b5,c,0
138767,0,300,0,0,8,3,a5,64,5a,64,0,64,ed
138768,0,301,0,0,3,4e,d,0
138774,1,403,0,0,8,63,0,0,0,20,e2,9,0
138794,1,401,0,0,8,1b,a0,0,0,d0,1,0,0
138795,1,201,0,0,6,22,1,0,0,63,0
138807,1,203,0,0,8,33,2,0,0,0,0,0,80
138814,1,400,0,0,8,1,0,6c,0,0,0,0,0
138817,0,300,0,0,8,3,a5,64,5a,64,0,64,fe
138818,0,301,0,0,3,1d,e,0
138867,0,300,0,0,8,3,a5,64,5a,64,0,64,ef
138868,0,301,0,0,3,e8,f,0
138894,1,401,0,0,8,40,a0,0,0,b0,3,0,0
138895,1,201,0,0,6,22,1,0,0,63,0
138907,1,203,0,0,8,56,2,0,0,0,0,0,80
138914,1,400,0,0,8,1,0,6c,0,0,0,0,0
138917,0,300,0,0,8,3,a5,64,5a,64,0,64,70
138918,0,301,0,0,3,e2,0,0
138967,0,300,0,0,8,3,a5,64,5a,64,0,64,61
138968,0,301,0,0,3,b3,1,0
138994,1,401,0,0,8,40,a0,0,0,b0,3,0,0
138995,1,201,0,0,6,22,1,0,0,63,0
139007,1,203,0,0,8,8a,2,0,0,0,0,0,80
