timestamp,cadence,distance,speed,power,enhanced speed,motor power,ebike battery level,ebike assist mode,motor profile scale,motor current scale
1096201742,0,0,0,0,0,0,98,6,50,50
1096201743,0,0,0,0,0,0,98,5,50,50
1096201744,0,0,0,0,0,0,98,6,50,50
1096201745,0,0,0,0,0,0,98,6,50,50
1096201746,0,0,0,0,0,0,98,6,50,50
1096201747,0,0,0,0,0,0,98,6,50,50
1096201748,0,0,0,0,0,0,98,6,50,50
1096201749,0,0,0,0,0,0,98,6,50,50
1096201750,0,0,0,0,0,0,98,6,50,50
1096201751,0,0,0,0,0,0,98,6,50,50
1096201752,0,0,0,0,0,0,98,6,50,50
1096201753,0,0,0,0,0,0,98,6,50,50
1096201754,0,0,0,0,0,0,98,6,50,50
1096201755,0,0,0,0,0,0,98,6,50,50
1096201756,0,0,0,0,0,0,98,6,50,50
1096201757,0,0,0,0,0,0,98,6,50,50
1096201758,0,0,0,0,0,0,98,6,50,50
1096201759,0,0,0,0,0,0,98,6,50,50
1096201760,0,0,0,0,0,0,98,6,50,50
1096201761,0,0,0,0,0,0,98,6,50,50
1096201762,0,0,0,0,0,0,98,6,50,50
1096201763,0,0,0,0,0,0,98,6,50,50
1096201764,0,0,0,0,0,0,98,6,50,50
1096201765,0,0,0,0,0,0,98,6,50,50
1096201766,0,0,0,0,0,0,98,6,50,50
1096201767,0,0,0,0,0,0,98,6,50,50
1096201768,0,0,0,0,0,0,98,6,50,50
1096201769,0,0,0,0,0,0,98,6,50,50
1096201770,0,0,0,0,0,0,98,6,50,50
1096201771,0,0,0,0,0,0,98,6,50,50
1096201772,0,0,0,0,0,0,98,6,50,50
1096201773,0,0,0,0,0,0,98,6,50,50
1096201774,0,0,0,0,0,0,98,6,50,50
1096201775,0,0,0,0,0,0,98,6,50,50
1096201776,0,0,0,0,0,0,98,6,50,50
1096201777,0,0,0,0,0,0,98,6,50,50
1096201778,0,0,0,0,0,0,98,6,50,50
1096201779,0,0,0,0,0,0,98,6,50,50
1096201780,0,0,0,0,0,0,98,6,50,50
1096201781,0,0,0,0,0,0,98,6,50,50
1096201782,0,0,0,0,0,0,98,6,50,50
1096201783,0,0,0,0,0,0,98,6,50,50
1096201784,0,0,0,0,0,0,98,6,50,50
1096201785,0,0,0,0,0,0,98,6,50,50
1096201786,0,0,0,0,0,0,98,6,50,50
1096201787,0,0,0,0,0,0,98,6,50,50
1096201788,0,0,0,0,0,0,98,6,50,50
1096201789,0,200,0,0,0,0,98,5,50,50
1096201790,0,200,0,0,0,0,98,5,50,50
1096201791,0,200,0,0,0,0,98,5,50,50
1096201792,0,200,0,0,0,0,98,5,50,50
1096201793,0,200,0,0,0,0,98,5,50,50
1096201794,0,200,0,0,0,0,98,5,50,50
1096201795,0,200,0,0,0,0,98,5,50,50
1096201796,0,200,0,0,0,0,98,5,50,50
1096201797,0,200,0,0,0,0,98,5,50,50
1096201798,0,200,0,0,0,0,98,5,50,50
1096201799,0,200,0,0,0,0,98,5,50,50
1096201800,0,200,0,0,0,0,98,5,50,50
1096201801,0,200,0,0,0,0,98,5,50,50
1096201802,0,200,0,0,0,0,98,5,50,50
1096201803,0,200,0,0,0,0,98,5,50,50
1096201804,0,200,0,0,0,0,98,5,50,50
1096201805,0,200,0,0,0,0,98,5,50,50
