Timestamp,IsSPI,ID,IsExtended,IsRemote,Length,D1,D2,D3,D4,D5,D6,D7,D8
0.019042,,300,,,8,00,5A,64,5A,00,00,00,9D
0.019526,,301,,,3,4E,0D,00,,,,,
0.069049,,300,,,8,00,5A,64,5A,00,00,00,AE
0.069533,,301,,,3,1D,0E,00,,,,,
0.119052,,300,,,8,00,5A,64,5A,00,00,00,BF
0.119536,,301,,,3,E8,0F,00,,,,,
0.169056,,300,,,8,00,5A,64,5A,00,00,00,40
0.16954,,301,,,3,E2,00,00,,,,,
0.219063,,300,,,8,00,5A,64,5A,00,00,00,51
0.219547,,301,,,3,B3,01,00,,,,,
0.269067,,300,,,8,00,5A,64,5A,00,00,00,62
0.269551,,301,,,3,6B,02,00,,,,,
0.319851,,300,,,8,00,5A,64,5A,00,00,00,73
0.320331,,301,,,3,96,03,00,,,,,
0.369079,,300,,,8,00,5A,64,5A,00,00,00,04
0.369567,,301,,,3,03,04,00,,,,,
0.419084,,300,,,8,00,5A,64,5A,00,00,00,15
0.419564,,301,,,3,54,05,00,,,,,
0.469086,,300,,,8,00,5A,64,5A,00,00,00,26
0.469566,,301,,,3,F5,06,00,,,,,
0.520089,,300,,,8,00,5A,64,5A,00,00,00,37
0.520569,,301,,,3,B8,07,00,,,,,
0.570096,,300,,,8,00,5A,64,5A,00,00,00,C8
0.571077,,301,,,3,80,08,00,,,,,
0.620101,,300,,,8,00,5A,64,5A,00,00,00,D9
0.620581,,301,,,3,88,09,00,,,,,
0.670105,,300,,,8,00,5A,64,5A,00,00,00,EA
0.671089,,301,,,3,C6,0A,00,,,,,
0.72011,,300,,,8,00,5A,64,5A,00,00,00,FB
0.720598,,301,,,3,43,0B,00,,,,,
0.770118,,300,,,8,00,5A,64,5A,00,00,00,8C
0.771098,,301,,,3,B5,0C,00,,,,,
0.82012,,300,,,8,00,5A,64,5A,00,00,00,9D
0.820604,,301,,,3,4E,0D,00,,,,,
0.870128,,300,,,8,00,5A,64,5A,00,00,00,AE
0.871112,,301,,,3,1D,0E,00,,,,,
0.920134,,300,,,8,00,5A,64,5A,00,00,00,BF
0.920618,,301,,,3,E8,0F,00,,,,,
0.970137,,300,,,8,00,5A,64,5A,00,00,00,40
0.971121,,301,,,3,E2,00,00,,,,,
1.020145,,300,,,8,00,5A,64,5A,00,00,00,51
1.020629,,301,,,3,B3,01,00,,,,,
1.070149,,300,,,8,00,5A,64,5A,00,00,00,62
1.071133,,301,,,3,6B,02,00,,,,,
1.120154,,300,,,8,00,5A,64,5A,00,00,00,73
1.120634,,301,,,3,96,03,00,,,,,
1.170158,,300,,,8,00,5A,64,5A,00,00,00,04
1.171146,,301,,,3,03,04,00,,,,,
1.220163,,300,,,8,00,5A,64,5A,00,00,00,15
1.220643,,301,,,3,54,05,00,,,,,
1.270171,,300,,,8,00,5A,64,5A,00,00,00,26
1.271151,,301,,,3,F5,06,00,,,,,
1.32095,,300,,,8,00,5A,64,5A,00,00,00,37
1.32143,,301,,,3,B8,07,00,,,,,
1.333119,,404,,,2,4A,00,,,,,,
1.357703,,404,,,2,02,30,,,,,,
1.370181,,300,,,8,00,5A,64,5A,00,00,00,C8
1.371162,,301,,,3,80,08,00,,,,,
1.388953,,404,,,2,44,00,,,,,,
1.420217,,300,,,8,00,5A,64,5A,00,00,00,D9
1.420697,,301,,,3,88,09,00,,,,,
1.421005,,404,,,2,01,00,,,,,,
1.451458,,404,,,2,A3,01,,,,,,
1.470192,,300,,,8,00,5A,64,5A,00,00,00,EA
1.471176,,301,,,3,C6,0A,00,,,,,
1.488207,,404,,,2,20,00,,,,,,
1.514146,,404,,,2,21,00,,,,,,
1.520196,,300,,,8,00,5A,64,5A,00,00,00,FB
1.520684,,301,,,3,43,0B,00,,,,,
1.545035,,404,,,2,22,00,,,,,,
1.570202,,300,,,8,00,5A,64,5A,00,00,00,8C
1.571182,,301,,,3,B5,0C,00,,,,,
1.576255,,404,,,2,23,00,,,,,,
1.607596,,404,,,2,24,00,,,,,,
1.620206,,300,,,8,00,5A,64,5A,00,00,00,9D
1.62069,,301,,,3,4E,0D,00,,,,,
1.644189,,404,,,2,25,00,,,,,,
1.670021,,404,,,2,26,00,,,,,,
1.671342,,300,,,8,00,5A,64,5A,00,00,00,AE
1.671826,,301,,,3,1D,0E,00,,,,,
1.70178,,404,,,2,27,00,,,,,,
1.720215,,300,,,8,00,5A,64,5A,00,00,00,BF
1.720699,,301,,,3,E8,0F,00,,,,,
1.732516,,404,,,2,4C,00,,,,,,
1.763768,,404,,,2,46,00,,,,,,
1.770222,,300,,,8,00,5A,64,5A,00,00,00,40
1.771206,,301,,,3,E2,00,00,,,,,
1.800408,,404,,,2,4D,00,,,,,,
1.820226,,300,,,8,00,5A,64,5A,00,00,00,51
1.82071,,301,,,3,B3,01,00,,,,,
1.82627,,404,,,2,50,00,,,,,,
1.857523,,404,,,2,02,00,,,,,,
1.870234,,300,,,8,00,5A,64,5A,00,00,00,62
1.871218,,301,,,3,6B,02,00,,,,,
1.888774,,404,,,2,0A,00,,,,,,
1.920036,,404,,,2,04,00,,,,,,
1.920308,,300,,,8,00,5A,64,5A,00,00,00,73
1.920788,,301,,,3,96,03,00,,,,,
1.957353,,404,,,2,B0,01,,,,,,
1.970244,,300,,,8,00,5A,64,5A,00,00,00,04
1.970732,,301,,,3,03,04,00,,,,,
1.982705,,404,,,2,B1,01,,,,,,
2.02025,,300,,,8,00,5A,64,5A,00,00,00,15
2.02073,,301,,,3,54,05,00,,,,,
2.070253,,300,,,8,00,5A,64,5A,00,00,00,26
2.070733,,301,,,3,F5,06,00,,,,,
2.120259,,300,,,8,00,5A,64,5A,00,00,00,37
2.120739,,301,,,3,B8,07,00,,,,,
2.170263,,300,,,8,00,5A,64,5A,00,00,00,C8
2.170743,,301,,,3,80,08,00,,,,,
2.220268,,300,,,8,00,5A,64,5A,00,00,00,D9
2.220748,,301,,,3,88,09,00,,,,,
2.270276,,300,,,8,00,5A,64,5A,00,00,00,EA
2.27076,,301,,,3,C6,0A,00,,,,,
2.321055,,300,,,8,00,5A,64,5A,00,00,00,FB
2.321544,,301,,,3,43,0B,00,,,,,
2.370287,,300,,,8,00,5A,64,5A,00,00,00,8C
2.370767,,301,,,3,B5,0C,00,,,,,
2.420292,,300,,,8,00,5A,64,5A,00,00,00,9D
2.420776,,301,,,3,4E,0D,00,,,,,
2.470293,,300,,,8,00,5A,64,5A,00,00,00,AE
2.470777,,301,,,3,1D,0E,00,,,,,
2.520299,,300,,,8,00,5A,64,5A,00,00,00,BF
2.520783,,301,,,3,E8,0F,00,,,,,
2.570307,,300,,,8,00,5A,64,5A,00,00,00,40
2.570791,,301,,,3,E2,00,00,,,,,
2.620309,,300,,,8,00,5A,64,5A,00,00,00,51
2.620793,,301,,,3,B3,01,00,,,,,
2.670317,,300,,,8,00,5A,64,5A,00,00,00,62
2.670801,,301,,,3,6B,02,00,,,,,
2.720323,,300,,,8,00,5A,64,5A,00,00,00,73
2.720803,,301,,,3,96,03,00,,,,,
2.770327,,300,,,8,00,5A,64,5A,00,00,00,04
2.770815,,301,,,3,03,04,00,,,,,
2.820333,,300,,,8,00,5A,64,5A,00,00,00,15
2.820813,,301,,,3,54,05,00,,,,,
2.870337,,300,,,8,00,5A,64,5A,00,00,00,26
2.870817,,301,,,3,F5,06,00,,,,,
2.920346,,300,,,8,00,5A,64,5A,00,00,00,37
2.920826,,301,,,3,B8,07,00,,,,,
2.970349,,300,,,8,00,5A,64,5A,00,00,00,C8
2.970829,,301,,,3,80,08,00,,,,,
3.020355,,300,,,8,00,5A,64,5A,00,00,00,D9
3.020835,,301,,,3,88,09,00,,,,,
3.070358,,300,,,8,00,5A,64,5A,00,00,00,EA
3.070842,,301,,,3,C6,0A,00,,,,,
3.120364,,300,,,8,00,5A,64,5A,00,00,00,FB
3.120852,,301,,,3,43,0B,00,,,,,
3.170368,,300,,,8,00,5A,64,5A,00,00,00,8C
3.170848,,301,,,3,B5,0C,00,,,,,
3.220374,,300,,,8,00,5A,64,5A,00,00,00,9D
3.220859,,301,,,3,4E,0D,00,,,,,
3.270378,,300,,,8,00,5A,64,5A,00,00,00,AE
3.270862,,301,,,3,1D,0E,00,,,,,
3.321163,,300,,,8,00,5A,64,5A,00,00,00,BF
3.321647,,301,,,3,E8,0F,00,,,,,
3.37039,,300,,,8,00,5A,64,5A,00,00,00,40
3.370875,,301,,,3,E2,00,00,,,,,
3.420396,,300,,,8,00,5A,64,5A,00,00,00,51
3.42088,,301,,,3,B3,01,00,,,,,
3.470401,,300,,,8,00,5A,64,5A,00,00,00,62
3.470885,,301,,,3,6B,02,00,,,,,
3.520407,,300,,,8,00,5A,64,5A,00,00,00,73
3.520887,,301,,,3,96,03,00,,,,,
3.57041,,300,,,8,00,5A,64,5A,00,00,00,04
3.570898,,301,,,3,03,04,00,,,,,
3.620416,,300,,,8,00,5A,64,5A,00,00,00,15
3.620896,,301,,,3,54,05,00,,,,,
3.67042,,300,,,8,00,5A,64,5A,00,00,00,26
3.6709,,301,,,3,F5,06,00,,,,,
3.720426,,300,,,8,00,5A,64,5A,00,00,00,37
3.720906,,301,,,3,B8,07,00,,,,,
3.77043,,300,,,8,00,5A,64,5A,00,00,00,C8
3.77091,,301,,,3,80,08,00,,,,,
3.820435,,300,,,8,00,5A,64,5A,00,00,00,D9
