developer data index,field definition number,fit base type id,field name,units
0,5,133,position_lat_ignored,semicircles
0,8,136,gps speed,m/s
0,6,133,position_lon_ignored,semicircles
0,0,136,smoothed elevation,m
0,1,2,altitude accuracy,m
0,2,136,gps elevation,m
0,9,2,speed accuracy,m/s
0,7,136,raw speed,m/s
0,10,131,bearing,degrees
1,10,2,autopauseAfter,s
1,2,7,firmware,
1,1,7,deviceId,
1,9,13,autopauseEnabled,s
1,5,2,horizontalDiscard,m
1,3,2,smoothingFilter,
1,7,2,verticalDiscard,m
1,4,2,horizontalSmoothingBypass,m
1,12,133,rssi,dBm
1,0,2,charge,%
1,6,2,verticalSmoothingBypass,m
1,8,136,lowSpeedFilter,m/s
1,11,136,maxDistance,m
2,4,132,peakra,a
2,2,132,peakg,g
2,3,132,peakr,r
2,0,2,flags,
2,1,2,type,
2,5,134,version,
2,6,2,charge,%
3,12,133,rssi,dBm
4,2,7,bike_serial_number,
4,0,7,battery1_serial_number,
4,1,7,battery2_serial_number,
5,3,2,ebike_battery2_level,%
5,1,2,motor_profile_scale,%
5,2,2,motor_current_scale,%
