name,type,start_time,duration,"identifier","extended","num_data_bytes","RemoteFrame","remote_frame","crc","ack","data"
"CAN","identifier_field",0.035302,0.00006,0x0000000000000300,,,,,,,
"CAN","control_field",0.035366,0.000012,,,0x0000000000000008,,,,,
"CAN","data_field",0.035382,0.000032,,,,,,,,0x03
"CAN","data_field",0.035418,0.000028,,,,,,,,0x5A
"CAN","data_field",0.03545,0.000028,,,,,,,,0x64
"CAN","data_field",0.035482,0.000028,,,,,,,,0x5A
"CAN","data_field",0.035514,0.000028,,,,,,,,0x64
"CAN","data_field",0.035546,0.000032,,,,,,,,0x00
"CAN","data_field",0.035586,0.000028,,,,,,,,0x64
"CAN","data_field",0.035618,0.000028,,,,,,,,0x30
"CAN","crc_field",0.03565,0.000064,,,,,,0x0000000000001209,,
"CAN","ack_field",0.035722,0.000004,,,,,,,true,
"CAN","identifier_field",0.035774,0.000056,0x0000000000000301,,,,,,,
"CAN","control_field",0.035834,0.000016,,,0x0000000000000003,,,,,
"CAN","data_field",0.035854,0.000032,,,,,,,,0xE2
"CAN","data_field",0.03589,0.000032,,,,,,,,0x00
"CAN","data_field",0.035926,0.000036,,,,,,,,0x00
"CAN","crc_field",0.035966,0.000056,,,,,,0x0000000000002F6A,,
"CAN","ack_field",0.03603,0.000004,,,,,,,true,
"CAN","identifier_field",0.08531,0.00006,0x0000000000000300,,,,,,,
"CAN","control_field",0.085374,0.000012,,,0x0000000000000008,,,,,
"CAN","data_field",0.08539,0.000032,,,,,,,,0x03
"CAN","data_field",0.085426,0.000028,,,,,,,,0x5A
"CAN","data_field",0.085458,0.000028,,,,,,,,0x64
"CAN","data_field",0.08549,0.000028,,,,,,,,0x5A
"CAN","data_field",0.085522,0.000028,,,,,,,,0x64
"CAN","data_field",0.085554,0.000032,,,,,,,,0x00
"CAN","data_field",0.085594,0.000028,,,,,,,,0x64
"CAN","data_field",0.085626,0.000028,,,,,,,,0x21
"CAN","crc_field",0.085658,0.000064,,,,,,0x0000000000007A07,,
"CAN","ack_field",0.08573,0.000004,,,,,,,true,
"CAN","identifier_field",0.085782,0.000056,0x0000000000000301,,,,,,,
"CAN","control_field",0.085842,0.000016,,,0x0000000000000003,,,,,
"CAN","data_field",0.085862,0.000028,,,,,,,,0xB3
"CAN","data_field",0.085894,0.000032,,,,,,,,0x01
"CAN","data_field",0.08593,0.000032,,,,,,,,0x00
"CAN","crc_field",0.085966,0.00006,,,,,,0x0000000000007FC5,,
"CAN","ack_field",0.086034,0.000004,,,,,,,true,
"CAN","identifier_field",0.135314,0.00006,0x0000000000000300,,,,,,,
"CAN","control_field",0.135378,0.000012,,,0x0000000000000008,,,,,
"CAN","data_field",0.135394,0.000032,,,,,,,,0x03
"CAN","data_field",0.13543,0.000028,,,,,,,,0x5A
"CAN","data_field",0.135462,0.000028,,,,,,,,0x64
"CAN","data_field",0.135494,0.000028,,,,,,,,0x5A
"CAN","data_field",0.135526,0.000028,,,,,,,,0x64
"CAN","data_field",0.135558,0.000032,,,,,,,,0x00
"CAN","data_field",0.135598,0.000028,,,,,,,,0x64
"CAN","data_field",0.13563,0.000028,,,,,,,,0x32
"CAN","crc_field",0.135662,0.000056,,,,,,0x0000000000005CA2,,
"CAN","ack_field",0.135726,0.000004,,,,,,,true,
"CAN","identifier_field",0.135778,0.000056,0x0000000000000301,,,,,,,
"CAN","control_field",0.135838,0.000016,,,0x0000000000000003,,,,,
"CAN","data_field",0.135858,0.000028,,,,,,,,0x6B
"CAN","data_field",0.13589,0.000032,,,,,,,,0x02
"CAN","data_field",0.135926,0.000032,,,,,,,,0x00
