Timestamp,IsSPI,ID,IsExtended,IsRemote,Length,D1,D2,D3,D4,D5,D6,D7,D8
0.035302,,300,,,8,03,5A,64,5A,64,00,64,30
0.035774,,301,,,3,E2,00,00,,,,,
0.08531,,300,,,8,03,5A,64,5A,64,00,64,21
0.085782,,301,,,3,B3,01,00,,,,,
0.135314,,300,,,8,03,5A,64,5A,64,00,64,32
0.135778,,301,,,3,6B,02,00,,,,,
0.18532,,300,,,8,03,5A,64,5A,64,00,64,23
0.185784,,301,,,3,96,03,00,,,,,
0.235657,,300,,,8,03,5A,64,5A,64,00,64,34
0.236122,,301,,,3,03,04,00,,,,,
0.285329,,300,,,8,03,5A,64,5A,64,00,64,25
0.285793,,301,,,3,54,05,00,,,,,
0.335334,,300,,,8,03,5A,64,5A,64,00,64,36
0.335802,,301,,,3,F5,06,00,,,,,
0.385341,,300,,,8,03,5A,64,5A,64,00,64,27
0.385809,,301,,,3,B8,07,00,,,,,
0.435345,,300,,,8,03,5A,64,5A,64,00,64,B8
0.435813,,301,,,3,80,08,00,,,,,
0.485349,,300,,,8,03,5A,64,5A,64,00,64,A9
0.485817,,301,,,3,88,09,00,,,,,
0.535357,,300,,,8,03,5A,64,5A,64,00,64,BA
0.535821,,301,,,3,C6,0A,00,,,,,
0.585362,,300,,,8,03,5A,64,5A,64,00,64,AB
0.585826,,301,,,3,43,0B,00,,,,,
0.635366,,300,,,8,03,5A,64,5A,64,00,64,BC
0.63583,,301,,,3,B5,0C,00,,,,,
0.686148,,300,,,8,03,5A,64,5A,64,00,64,AD
0.686612,,301,,,3,4E,0D,00,,,,,
0.73538,,300,,,8,03,5A,64,5A,64,00,64,BE
0.735848,,301,,,3,1D,0E,00,,,,,
0.785384,,300,,,8,03,5A,64,5A,64,00,64,AF
0.785848,,301,,,3,E8,0F,00,,,,,
0.835388,,300,,,8,03,5A,64,5A,64,00,64,30
0.83586,,301,,,3,E2,00,00,,,,,
0.885392,,300,,,8,03,5A,64,5A,64,00,64,21
0.885864,,301,,,3,B3,01,00,,,,,
0.935396,,300,,,8,03,5A,64,5A,64,00,64,32
0.93586,,301,,,3,6B,02,00,,,,,
0.986403,,300,,,8,03,5A,64,5A,64,00,64,23
0.986867,,301,,,3,96,03,00,,,,,
1.036408,,300,,,8,03,5A,64,5A,64,00,64,34
1.036872,,301,,,3,03,04,00,,,,,
1.086412,,300,,,8,03,5A,64,5A,64,00,64,25
1.086876,,301,,,3,54,05,00,,,,,
1.136416,,300,,,8,03,5A,64,5A,64,00,64,36
1.136884,,301,,,3,F5,06,00,,,,,
1.186425,,300,,,8,03,5A,64,5A,64,00,64,27
1.186893,,301,,,3,B8,07,00,,,,,
1.236429,,300,,,8,03,5A,64,5A,64,00,64,B8
1.236897,,301,,,3,80,08,00,,,,,
1.286434,,300,,,8,03,5A,64,5A,64,00,64,A9
1.286902,,301,,,3,88,09,00,,,,,
1.336438,,300,,,8,03,5A,64,5A,64,00,64,BA
1.336902,,301,,,3,C6,0A,00,,,,,
1.386444,,300,,,8,03,5A,64,5A,64,00,64,AB
1.386908,,301,,,3,43,0B,00,,,,,
1.436448,,300,,,8,03,5A,64,5A,64,00,64,BC
1.436912,,301,,,3,B5,0C,00,,,,,
1.486454,,300,,,8,03,5A,64,5A,64,00,64,AD
1.486919,,301,,,3,4E,0D,00,,,,,
1.536458,,300,,,8,03,5A,64,5A,64,00,64,BE
1.536926,,301,,,3,1D,0E,00,,,,,
1.586462,,300,,,8,03,5A,64,5A,64,00,64,AF
1.586926,,301,,,3,E8,0F,00,,,,,
1.63647,,300,,,8,03,5A,64,5A,64,00,64,30
1.636942,,301,,,3,E2,00,00,,,,,
1.687252,,300,,,8,03,5A,64,5A,64,00,64,21
1.687724,,301,,,3,B3,01,00,,,,,
1.73648,,300,,,8,03,5A,64,5A,64,00,64,32
1.736944,,301,,,3,6B,02,00,,,,,
1.786485,,300,,,8,03,5A,64,5A,64,00,64,23
1.786949,,301,,,3,96,03,00,,,,,
1.836681,,300,,,8,03,5A,64,5A,64,00,64,34
1.837145,,301,,,3,03,04,00,,,,,
1.886493,,300,,,8,03,5A,64,5A,64,00,64,25
1.886957,,301,,,3,54,05,00,,,,,
1.936502,,300,,,8,03,5A,64,5A,64,00,64,36
1.93697,,301,,,3,F5,06,00,,,,,
1.986507,,300,,,8,03,5A,64,5A,64,00,64,27
1.986975,,301,,,3,B8,07,00,,,,,
2.036513,,300,,,8,03,5A,64,5A,64,00,64,B8
2.036981,,301,,,3,80,08,00,,,,,
2.086517,,300,,,8,03,5A,64,5A,64,00,64,A9
2.086985,,301,,,3,88,09,00,,,,,
2.136521,,300,,,8,03,5A,64,5A,64,00,64,BA
2.136985,,301,,,3,C6,0A,00,,,,,
2.186528,,300,,,8,03,5A,64,5A,64,00,64,AB
2.186992,,301,,,3,43,0B,00,,,,,
2.236532,,300,,,8,03,5A,64,5A,64,00,64,BC
2.236996,,301,,,3,B5,0C,00,,,,,
2.286535,,300,,,8,03,5A,64,5A,64,00,64,AD
2.286999,,301,,,3,4E,0D,00,,,,,
2.336543,,300,,,8,03,5A,64,5A,64,00,64,BE
2.337011,,301,,,3,1D,0E,00,,,,,
2.386548,,300,,,8,03,5A,64,5A,64,00,64,AF
2.387012,,301,,,3,E8,0F,00,,,,,
2.436553,,300,,,8,03,5A,64,5A,64,00,64,30
2.437025,,301,,,3,E2,00,00,,,,,
2.486559,,300,,,8,03,5A,64,5A,64,00,64,21
2.487031,,301,,,3,B3,01,00,,,,,
2.536563,,300,,,8,03,5A,64,5A,64,00,64,32
2.537027,,301,,,3,6B,02,00,,,,,
2.586567,,300,,,8,03,5A,64,5A,64,00,64,23
2.587031,,301,,,3,96,03,00,,,,,
2.636571,,300,,,8,03,5A,64,5A,64,00,64,34
2.637035,,301,,,3,03,04,00,,,,,
2.687356,,300,,,8,03,5A,64,5A,64,00,64,25
2.68782,,301,,,3,54,05,00,,,,,
2.736584,,300,,,8,03,5A,64,5A,64,00,64,36
2.737052,,301,,,3,F5,06,00,,,,,
2.786588,,300,,,8,03,5A,64,5A,64,00,64,27
2.787056,,301,,,3,B8,07,00,,,,,
2.836596,,300,,,8,03,5A,64,5A,64,00,64,B8
2.837064,,301,,,3,80,08,00,,,,,
2.886599,,300,,,8,03,5A,64,5A,64,00,64,A9
2.887067,,301,,,3,88,09,00,,,,,
2.936603,,300,,,8,03,5A,64,5A,64,00,64,BA
2.937067,,301,,,3,C6,0A,00,,,,,
2.986611,,300,,,8,03,5A,64,5A,64,00,64,AB
2.987075,,301,,,3,43,0B,00,,,,,
3.036615,,300,,,8,03,5A,64,5A,64,00,64,BC
3.037079,,301,,,3,B5,0C,00,,,,,
3.086621,,300,,,8,03,5A,64,5A,64,00,64,AD
3.087085,,301,,,3,4E,0D,00,,,,,
3.136625,,300,,,8,03,5A,64,5A,64,00,64,BE
3.137093,,301,,,3,1D,0E,00,,,,,
3.186631,,300,,,8,03,5A,64,5A,64,00,64,AF
3.187095,,301,,,3,E8,0F,00,,,,,
3.236635,,300,,,8,03,5A,64,5A,64,00,64,30
3.237107,,301,,,3,E2,00,00,,,,,
3.286642,,300,,,8,03,5A,64,5A,64,00,64,21
3.287114,,301,,,3,B3,01,00,,,,,
3.336646,,300,,,8,03,5A,64,5A,64,00,64,32
3.33711,,301,,,3,6B,02,00,,,,,
3.386653,,300,,,8,03,5A,64,5A,64,00,64,23
3.387117,,301,,,3,96,03,00,,,,,
3.436657,,300,,,8,03,5A,64,5A,64,00,64,34
3.437121,,301,,,3,03,04,00,,,,,
3.486662,,300,,,8,03,5A,64,5A,64,00,64,25
3.487126,,301,,,3,54,05,00,,,,,
3.536666,,300,,,8,03,5A,64,5A,64,00,64,36
3.537134,,301,,,3,F5,06,00,,,,,
3.586671,,300,,,8,03,5A,64,5A,64,00,64,27
3.587139,,301,,,3,B8,07,00,,,,,
3.636679,,300,,,8,03,5A,64,5A,64,00,64,B8
3.637147,,301,,,3,80,08,00,,,,,
3.687461,,300,,,8,03,5A,64,5A,64,00,64,A9
3.687929,,301,,,3,88,09,00,,,,,
3.737464,,300,,,8,03,5A,64,5A,64,00,64,BA
3.738521,,301,,,3,C6,0A,00,,,,,
3.786695,,300,,,8,03,5A,64,5A,64,00,64,AB
3.787159,,301,,,3,43,0B,00,,,,,
3.8367,,300,,,8,03,5A,64,5A,64,00,64,BC
3.837164,,301,,,3,B5,0C,00,,,,,
3.886704,,300,,,8,03,5A,64,5A,64,00,64,AD
3.887168,,301,,,3,4E,0D,00,,,,,
3.936708,,300,,,8,03,5A,64,5A,64,00,64,BE
3.937176,,301,,,3,1D,0E,00,,,,,
3.986713,,300,,,8,03,5A,64,5A,64,00,64,AF
3.987177,,301,,,3,E8,0F,00,,,,,
4.036717,,300,,,8,03,5A,64,5A,64,00,64,30
4.037189,,301,,,3,E2,00,00,,,,,
4.086725,,300,,,8,03,5A,64,5A,64,00,64,21
4.087197,,301,,,3,B3,01,00,,,,,
4.136729,,300,,,8,03,5A,64,5A,64,00,64,32
4.137193,,301,,,3,6B,02,00,,,,,
4.186735,,300,,,8,03,5A,64,5A,64,00,64,23
4.187199,,301,,,3,96,03,00,,,,,
4.236739,,300,,,8,03,5A,64,5A,64,00,64,34
4.237203,,301,,,3,03,04,00,,,,,
4.286745,,300,,,8,03,5A,64,5A,64,00,64,25
4.287209,,301,,,3,54,05,00,,,,,
4.336749,,300,,,8,03,5A,64,5A,64,00,64,36
4.337217,,301,,,3,F5,06,00,,,,,
4.386754,,300,,,8,03,5A,64,5A,64,00,64,27
4.387222,,301,,,3,B8,07,00,,,,,
4.436762,,300,,,8,03,5A,64,5A,64,00,64,B8
4.43723,,301,,,3,80,08,00,,,,,
4.486764,,300,,,8,03,5A,64,5A,64,00,64,A9
4.487232,,301,,,3,88,09,00,,,,,
4.536773,,300,,,8,03,5A,64,5A,64,00,64,BA
4.537237,,301,,,3,C6,0A,00,,,,,
4.586939,,300,,,8,03,5A,64,5A,64,00,64,AB
4.587404,,301,,,3,43,0B,00,,,,,
4.63678,,300,,,8,03,5A,64,5A,64,00,64,BC
4.637244,,301,,,3,B5,0C,00,,,,,
4.687599,,300,,,8,03,5A,64,5A,64,00,64,AD
4.688063,,301,,,3,4E,0D,00,,,,,
4.736791,,300,,,8,03,5A,64,5A,64,00,64,BE
4.737259,,301,,,3,1D,0E,00,,,,,
4.786798,,300,,,8,03,5A,64,5A,64,00,64,AF
4.787262,,301,,,3,E8,0F,00,,,,,
4.836803,,300,,,8,03,5A,64,5A,64,00,64,30
4.837275,,301,,,3,E2,00,00,,,,,
4.886809,,300,,,8,03,5A,64,5A,64,00,64,21
4.887281,,301,,,3,B3,01,00,,,,,
4.936815,,300,,,8,03,5A,64,5A,64,00,64,32
4.937279,,301,,,3,6B,02,00,,,,,
4.987305,,300,,,8,03,5A,64,5A,64,00,64,23
4.987769,,301,,,3,96,03,00,,,,,
5.036824,,300,,,8,03,5A,64,5A,64,00,64,34
5.037288,,301,,,3,03,04,00,,,,,
5.086827,,300,,,8,03,5A,64,5A,64,00,64,25
5.087291,,301,,,3,54,05,00,,,,,
5.136832,,300,,,8,03,5A,64,5A,64,00,64,36
5.1373,,301,,,3,F5,06,00,,,,,
5.168042,,1F7B9EFB,,,B,,,,,,,,
5.18684,,300,,,8,03,5A,64,5A,64,00,64,27
5.187308,,301,,,3,B8,07,00,,,,,
5.236842,,300,,,8,03,5A,64,5A,64,00,64,B8
5.23731,,301,,,3,80,08,00,,,,,
5.28685,,300,,,8,03,5A,64,5A,64,00,64,A9
5.287318,,301,,,3,88,09,00,,,,,
5.336856,,300,,,8,03,5A,64,5A,64,00,64,BA
5.33732,,301,,,3,C6,0A,00,,,,,
5.386861,,300,,,8,03,5A,64,5A,64,00,64,AB
5.387325,,301,,,3,43,0B,00,,,,,
5.436864,,300,,,8,03,5A,64,5A,64,00,64,BC
5.437328,,301,,,3,B5,0C,00,,,,,
5.48687,,300,,,8,03,5A,64,5A,64,00,64,AD
5.487334,,301,,,3,4E,0D,00,,,,,
5.536877,,300,,,8,03,5A,64,5A,64,00,64,BE
5.537345,,301,,,3,1D,0E,00,,,,,
