name,type,start_time,duration,"identifier","num_data_bytes","crc","ack","data"
"CAN","identifier_field",0.045393,0.00006,0x0000000000000300,,,,
"CAN","control_field",0.045457,0.000012,,0x0000000000000008,,,
"CAN","data_field",0.045473,0.000036,,,,,0x00
"CAN","data_field",0.045513,0.000028,,,,,0x5A
"CAN","data_field",0.045545,0.000032,,,,,0x00
"CAN","data_field",0.045581,0.000032,,,,,0x5A
"CAN","data_field",0.045617,0.000032,,,,,0x00
"CAN","data_field",0.045653,0.000036,,,,,0x00
"CAN","data_field",0.045693,0.000032,,,,,0x00
"CAN","data_field",0.045733,0.000028,,,,,0x99
"CAN","crc_field",0.045765,0.000056,,,0x000000000000644B,,
"CAN","ack_field",0.045829,0.000004,,,,true,
"CAN","identifier_field",0.045881,0.000056,0x0000000000000301,,,,
"CAN","control_field",0.045941,0.000016,,0x0000000000000003,,,
"CAN","data_field",0.045961,0.000028,,,,,0x88
"CAN","data_field",0.045993,0.000032,,,,,0x09
"CAN","data_field",0.046029,0.000032,,,,,0x00
"CAN","crc_field",0.046065,0.000064,,,0x000000000000603E,,
"CAN","ack_field",0.046137,0.000004,,,,true,
"CAN","identifier_field",0.095398,0.00006,0x0000000000000300,,,,
"CAN","control_field",0.095462,0.000012,,0x0000000000000008,,,
"CAN","data_field",0.095478,0.000036,,,,,0x00
"CAN","data_field",0.095518,0.000028,,,,,0x5A
"CAN","data_field",0.09555,0.000032,,,,,0x00
"CAN","data_field",0.095586,0.000032,,,,,0x5A
"CAN","data_field",0.095622,0.000032,,,,,0x00
"CAN","data_field",0.095658,0.000036,,,,,0x00
"CAN","data_field",0.095698,0.000032,,,,,0x00
"CAN","data_field",0.095738,0.000028,,,,,0xAA
"CAN","crc_field",0.09577,0.00006,,,0x00000000000019C0,,
"CAN","ack_field",0.095838,0.000004,,,,true,
"CAN","identifier_field",0.09589,0.000056,0x0000000000000301,,,,
"CAN","control_field",0.09595,0.000016,,0x0000000000000003,,,
"CAN","data_field",0.09597,0.000032,,,,,0xC6
"CAN","data_field",0.096006,0.000032,,,,,0x0A
"CAN","data_field",0.096042,0.000032,,,,,0x00
"CAN","crc_field",0.096078,0.00006,,,0x00000000000053FD,,
"CAN","ack_field",0.096146,0.000004,,,,true,
"CAN","identifier_field",0.145405,0.00006,0x0000000000000300,,,,
"CAN","control_field",0.145469,0.000012,,0x0000000000000008,,,
"CAN","data_field",0.145485,0.000036,,,,,0x00
"CAN","data_field",0.145525,0.000028,,,,,0x5A
"CAN","data_field",0.145557,0.000032,,,,,0x00
"CAN","data_field",0.145593,0.000032,,,,,0x5A
"CAN","data_field",0.145629,0.000032,,,,,0x00
"CAN","data_field",0.145665,0.000036,,,,,0x00
"CAN","data_field",0.145705,0.000032,,,,,0x00
"CAN","data_field",0.145745,0.000028,,,,,0xBB
"CAN","crc_field",0.145777,0.00006,,,0x00000000000071CE,,
"CAN","ack_field",0.145845,0.000004,,,,true,
"CAN","identifier_field",0.145897,0.000056,0x0000000000000301,,,,
"CAN","control_field",0.145957,0.000016,,0x0000000000000003,,,
"CAN","data_field",0.145977,0.000028,,,,,0x43
"CAN","data_field",0.146009,0.000028,,,,,0x0B
"CAN","data_field",0.146041,0.000032,,,,,0x00
"CAN","crc_field",0.146077,0.000056,,,0x00000000000023D1,,
"CAN","ack_field",0.146141,0.000004,,,,true,
"CAN","identifier_field",0.196183,0.00006,0x0000000000000300,,,,
"CAN","control_field",0.196247,0.000012,,0x0000000000000008,,,
"CAN","data_field",0.196263,0.000036,,,,,0x00
"CAN","data_field",0.196303,0.000028,,,,,0x5A
"CAN","data_field",0.196335,0.000032,,,,,0x00
"CAN","data_field",0.196371,0.000032,,,,,0x5A
"CAN","data_field",0.196407,0.000032,,,,,0x00
"CAN","data_field",0.196443,0.000036,,,,,0x00
"CAN","data_field",0.196483,0.000032,,,,,0x00
"CAN","data_field",0.196523,0.000028,,,,,0xCC
"CAN","crc_field",0.196555,0.000056,,,0x000000000000274F,,
"CAN","ack_field",0.196619,0.000004,,,,true,
"CAN","identifier_field",0.196675,0.000056,0x0000000000000301,,,,
"CAN","control_field",0.196735,0.000016,,0x0000000000000003,,,
"CAN","data_field",0.196755,0.000028,,,,,0xB5
"CAN","data_field",0.196787,0.000028,,,,,0x0C
"CAN","data_field",0.196819,0.000032,,,,,0x00
"CAN","crc_field",0.196859,0.00006,,,0x00000000000072FC,,
"CAN","ack_field",0.196927,0.000004,,,,true,
"CAN","identifier_field",0.246193,0.00006,0x0000000000000300,,,,
"CAN","control_field",0.246257,0.000012,,0x0000000000000008,,,
"CAN","data_field",0.246273,0.000036,,,,,0x00
"CAN","data_field",0.246313,0.000028,,,,,0x5A
"CAN","data_field",0.246345,0.000032,,,,,0x00
"CAN","data_field",0.246381,0.000032,,,,,0x5A
"CAN","data_field",0.246417,0.000032,,,,,0x00
"CAN","data_field",0.246453,0.000036,,,,,0x00
"CAN","data_field",0.246493,0.000032,,,,,0x00
"CAN","data_field",0.246533,0.000028,,,,,0xDD
"CAN","crc_field",0.246565,0.00006,,,0x0000000000004F41,,
"CAN","ack_field",0.246633,0.000004,,,,true,
"CAN","identifier_field",0.246685,0.000056,0x0000000000000301,,,,
"CAN","control_field",0.246745,0.000016,,0x0000000000000003,,,
"CAN","data_field",0.246765,0.000028,,,,,0x4E
"CAN","data_field",0.246797,0.000032,,,,,0x0D
"CAN","data_field",0.246833,0.000032,,,,,0x00
"CAN","crc_field",0.246869,0.00006,,,0x000000000000581C,,
"CAN","ack_field",0.246937,0.000004,,,,true,
"CAN","identifier_field",0.295421,0.00006,0x0000000000000300,,,,
"CAN","control_field",0.295485,0.000012,,0x0000000000000008,,,
"CAN","data_field",0.295501,0.000036,,,,,0x00
"CAN","data_field",0.295541,0.000028,,,,,0x5A
"CAN","data_field",0.295573,0.000032,,,,,0x00
"CAN","data_field",0.295609,0.000032,,,,,0x5A
"CAN","data_field",0.295645,0.000032,,,,,0x00
"CAN","data_field",0.295681,0.000036,,,,,0x00
"CAN","data_field",0.295721,0.000032,,,,,0x00
"CAN","data_field",0.295761,0.000028,,,,,0xEE
"CAN","crc_field",0.295793,0.000056,,,0x00000000000032CA,,
"CAN","ack_field",0.295857,0.000004,,,,true,
"CAN","identifier_field",0.295909,0.000056,0x0000000000000301,,,,
"CAN","control_field",0.295969,0.000016,,0x0000000000000003,,,
"CAN","data_field",0.295989,0.000028,,,,,0x1D
"CAN","data_field",0.296021,0.000028,,,,,0x0E
"CAN","data_field",0.296053,0.000032,,,,,0x00
"CAN","crc_field",0.296089,0.00006,,,0x00000000000060D7,,
"CAN","ack_field",0.296157,0.000004,,,,true,
"CAN","identifier_field",0.345424,0.00006,0x0000000000000300,,,,
"CAN","control_field",0.345488,0.000012,,0x0000000000000008,,,
"CAN","data_field",0.345504,0.000036,,,,,0x00
"CAN","data_field",0.345544,0.000028,,,,,0x5A
"CAN","data_field",0.345576,0.000032,,,,,0x00
"CAN","data_field",0.345612,0.000032,,,,,0x5A
"CAN","data_field",0.345648,0.000032,,,,,0x00
"CAN","data_field",0.345684,0.000036,,,,,0x00
"CAN","data_field",0.345724,0.000032,,,,,0x00
"CAN","data_field",0.345764,0.000032,,,,,0xFF
"CAN","crc_field",0.3458,0.00006,,,0x0000000000005AC4,,
"CAN","ack_field",0.345868,0.000004,,,,true,
"CAN","identifier_field",0.34592,0.000056,0x0000000000000301,,,,
"CAN","control_field",0.34598,0.000016,,0x0000000000000003,,,
"CAN","data_field",0.346,0.000032,,,,,0xE8
"CAN","data_field",0.346036,0.000032,,,,,0x0F
"CAN","data_field",0.346072,0.000032,,,,,0x00
"CAN","crc_field",0.346108,0.000056,,,0x00000000000077B9,,
"CAN","ack_field",0.346172,0.000004,,,,true,
"CAN","identifier_field",0.395428,0.00006,0x0000000000000300,,,,
"CAN","control_field",0.395492,0.000012,,0x0000000000000008,,,
"CAN","data_field",0.395508,0.000036,,,,,0x00
"CAN","data_field",0.395548,0.000028,,,,,0x5A
"CAN","data_field",0.39558,0.000032,,,,,0x00
"CAN","data_field",0.395616,0.000032,,,,,0x5A
"CAN","data_field",0.395652,0.000032,,,,,0x00
"CAN","data_field",0.395688,0.000036,,,,,0x00
"CAN","data_field",0.395728,0.000032,,,,,0x00
"CAN","data_field",0.395768,0.000032,,,,,0x00
"CAN","crc_field",0.395804,0.000056,,,0x0000000000005A51,,
"CAN","ack_field",0.395868,0.000004,,,,true,
"CAN","identifier_field",0.39592,0.000056,0x0000000000000301,,,,
"CAN","control_field",0.39598,0.000016,,0x0000000000000003,,,
"CAN","data_field",0.396,0.000032,,,,,0xE2
"CAN","data_field",0.396036,0.000032,,,,,0x00
"CAN","data_field",0.396072,0.000036,,,,,0x00
"CAN","crc_field",0.396112,0.000056,,,0x0000000000002F6A,,
"CAN","ack_field",0.396176,0.000004,,,,true,
"CAN","identifier_field",0.445435,0.00006,0x0000000000000300,,,,
"CAN","control_field",0.445499,0.000012,,0x0000000000000008,,,
"CAN","data_field",0.445515,0.000036,,,,,0x00
"CAN","data_field",0.445555,0.000028,,,,,0x5A
"CAN","data_field",0.445587,0.000032,,,,,0x00
"CAN","data_field",0.445623,0.000032,,,,,0x5A
"CAN","data_field",0.445659,0.000032,,,,,0x00
"CAN","data_field",0.445695,0.000036,,,,,0x00
"CAN","data_field",0.445735,0.000032,,,,,0x00
"CAN","data_field",0.445775,0.000028,,,,,0x11
"CAN","crc_field",0.445807,0.000056,,,0x000000000000325F,,
"CAN","ack_field",0.445875,0.000004,,,,true,
"CAN","identifier_field",0.445927,0.000056,0x0000000000000301,,,,
"CAN","control_field",0.445987,0.000016,,0x0000000000000003,,,
"CAN","data_field",0.446007,0.000028,,,,,0xB3
"CAN","data_field",0.446039,0.000032,,,,,0x01
"CAN","data_field",0.446075,0.000032,,,,,0x00
"CAN","crc_field",0.446111,0.00006,,,0x0000000000007FC5,,
"CAN","ack_field",0.446179,0.000004,,,,true,
"CAN","identifier_field",0.495437,0.00006,0x0000000000000300,,,,
"CAN","control_field",0.495501,0.000012,,0x0000000000000008,,,
"CAN","data_field",0.495517,0.000036,,,,,0x00
"CAN","data_field",0.495557,0.000028,,,,,0x5A
"CAN","data_field",0.495589,0.000032,,,,,0x00
"CAN","data_field",0.495625,0.000032,,,,,0x5A
"CAN","data_field",0.495661,0.000032,,,,,0x00
"CAN","data_field",0.495697,0.000036,,,,,0x00
"CAN","data_field",0.495737,0.000032,,,,,0x00
"CAN","data_field",0.495777,0.000028,,,,,0x22
"CAN","crc_field",0.495809,0.00006,,,0x0000000000004FD4,,
"CAN","ack_field",0.495877,0.000004,,,,true,
"CAN","identifier_field",0.495929,0.000056,0x0000000000000301,,,,
"CAN","control_field",0.495989,0.000016,,0x0000000000000003,,,
"CAN","data_field",0.496009,0.000028,,,,,0x6B
"CAN","data_field",0.496041,0.000032,,,,,0x02
"CAN","data_field",0.496077,0.000032,,,,,0x00
"CAN","crc_field",0.496113,0.000056,,,0x0000000000004E8A,,
"CAN","ack_field",0.496177,0.000004,,,,true,
"CAN","identifier_field",0.545444,0.00006,0x0000000000000300,,,,
"CAN","control_field",0.545508,0.000012,,0x0000000000000008,,,
"CAN","data_field",0.545524,0.000036,,,,,0x00
"CAN","data_field",0.545564,0.000028,,,,,0x5A
"CAN","data_field",0.545596,0.000032,,,,,0x00
"CAN","data_field",0.545632,0.000032,,,,,0x5A
"CAN","data_field",0.545668,0.000032,,,,,0x00
"CAN","data_field",0.545704,0.000036,,,,,0x00
"CAN","data_field",0.545744,0.000032,,,,,0x00
"CAN","data_field",0.545784,0.000028,,,,,0x33
"CAN","crc_field",0.545816,0.00006,,,0x00000000000027DA,,
"CAN","ack_field",0.545884,0.000004,,,,true,
"CAN","identifier_field",0.545936,0.000056,0x0000000000000301,,,,
"CAN","control_field",0.545996,0.000016,,0x0000000000000003,,,
"CAN","data_field",0.546016,0.000028,,,,,0x96
"CAN","data_field",0.546048,0.000032,,,,,0x03
"CAN","data_field",0.546084,0.000032,,,,,0x00
"CAN","crc_field",0.54612,0.00006,,,0x0000000000000AB9,,
"CAN","ack_field",0.546188,0.000004,,,,true,
"CAN","identifier_field",0.59545,0.00006,0x0000000000000300,,,,
"CAN","control_field",0.595514,0.000012,,0x0000000000000008,,,
"CAN","data_field",0.59553,0.000036,,,,,0x00
"CAN","data_field",0.59557,0.000028,,,,,0x5A
"CAN","data_field",0.595602,0.000032,,,,,0x00
"CAN","data_field",0.595638,0.000032,,,,,0x5A
"CAN","data_field",0.595674,0.000032,,,,,0x00
"CAN","data_field",0.59571,0.000036,,,,,0x00
"CAN","data_field",0.59575,0.000032,,,,,0x00
