Timestamp,IsSPI,ID,IsExtended,IsRemote,Length,D1,D2,D3,D4,D5,D6,D7,D8
0.045393,,300,,,8,00,5A,00,5A,00,00,00,99
0.045881,,301,,,3,88,09,00,,,,,
0.095398,,300,,,8,00,5A,00,5A,00,00,00,AA
0.09589,,301,,,3,C6,0A,00,,,,,
0.145405,,300,,,8,00,5A,00,5A,00,00,00,BB
0.145897,,301,,,3,43,0B,00,,,,,
0.196183,,300,,,8,00,5A,00,5A,00,00,00,CC
0.196675,,301,,,3,B5,0C,00,,,,,
0.246193,,300,,,8,00,5A,00,5A,00,00,00,DD
0.246685,,301,,,3,4E,0D,00,,,,,
0.295421,,300,,,8,00,5A,00,5A,00,00,00,EE
0.295909,,301,,,3,1D,0E,00,,,,,
0.345424,,300,,,8,00,5A,00,5A,00,00,00,FF
0.34592,,301,,,3,E8,0F,00,,,,,
0.395428,,300,,,8,00,5A,00,5A,00,00,00,00
0.39592,,301,,,3,E2,00,00,,,,,
0.445435,,300,,,8,00,5A,00,5A,00,00,00,11
0.445927,,301,,,3,B3,01,00,,,,,
0.495437,,300,,,8,00,5A,00,5A,00,00,00,22
0.495929,,301,,,3,6B,02,00,,,,,
0.545444,,300,,,8,00,5A,00,5A,00,00,00,33
0.545936,,301,,,3,96,03,00,,,,,
0.59545,,300,,,8,00,5A,00,5A,00,00,00,44
0.595938,,301,,,3,03,04,00,,,,,
0.645453,,300,,,8,00,5A,00,5A,00,00,00,55
0.645941,,301,,,3,54,05,00,,,,,
0.695458,,300,,,8,00,5A,00,5A,00,00,00,66
0.695946,,301,,,3,F5,06,00,,,,,
0.745464,,300,,,8,00,5A,00,5A,00,00,00,77
0.745952,,301,,,3,B8,07,00,,,,,
0.795469,,300,,,8,00,5A,00,5A,00,00,00,88
0.795961,,301,,,3,80,08,00,,,,,
0.845475,,300,,,8,00,5A,00,5A,00,00,00,99
0.845963,,301,,,3,88,09,00,,,,,
0.89548,,300,,,8,00,5A,00,5A,00,00,00,AA
0.895972,,301,,,3,C6,0A,00,,,,,
0.945482,,300,,,8,00,5A,00,5A,00,00,00,BB
0.945975,,301,,,3,43,0B,00,,,,,
0.99549,,300,,,8,00,5A,00,5A,00,00,00,CC
0.995978,,301,,,3,B5,0C,00,,,,,
1.045492,,300,,,8,00,5A,00,5A,00,00,00,DD
1.045984,,301,,,3,4E,0D,00,,,,,
1.095498,,300,,,8,00,5A,00,5A,00,00,00,EE
1.095986,,301,,,3,1D,0E,00,,,,,
