name,type,start_time,duration,"identifier","num_data_bytes","crc","ack","data"
"CAN","identifier_field",0.018473,0.00006,0x0000000000000300,,,,
"CAN","control_field",0.018537,0.000012,,0x0000000000000008,,,
"CAN","data_field",0.018553,0.000032,,,,,0x03
"CAN","data_field",0.018589,0.000028,,,,,0xA5
"CAN","data_field",0.018621,0.000028,,,,,0x64
"CAN","data_field",0.018653,0.000028,,,,,0x5A
"CAN","data_field",0.018685,0.000028,,,,,0x64
"CAN","data_field",0.018717,0.000032,,,,,0x00
"CAN","data_field",0.018757,0.000028,,,,,0x64
"CAN","data_field",0.018789,0.000028,,,,,0x67
"CAN","crc_field",0.018821,0.00006,,,0x00000000000043EE,,
"CAN","ack_field",0.018889,0.000004,,,,true,
"CAN","identifier_field",0.018941,0.000056,0x0000000000000301,,,,
"CAN","control_field",0.019001,0.000016,,0x0000000000000003,,,
"CAN","data_field",0.019021,0.000028,,,,,0xB8
"CAN","data_field",0.019053,0.000032,,,,,0x07
"CAN","data_field",0.019089,0.000032,,,,,0x00
"CAN","crc_field",0.019125,0.000056,,,0x0000000000006ADB,,
"CAN","ack_field",0.019189,0.000004,,,,true,
"CAN","identifier_field",0.067703,0.00006,0x0000000000000300,,,,
"CAN","control_field",0.067767,0.000012,,0x0000000000000008,,,
"CAN","data_field",0.067783,0.000032,,,,,0x03
"CAN","data_field",0.067819,0.000028,,,,,0xA5
"CAN","data_field",0.067851,0.000028,,,,,0x64
"CAN","data_field",0.067883,0.000028,,,,,0x5A
"CAN","data_field",0.067915,0.000028,,,,,0x64
"CAN","data_field",0.067947,0.000032,,,,,0x00
"CAN","data_field",0.067987,0.000028,,,,,0x64
"CAN","data_field",0.068019,0.000032,,,,,0xF8
"CAN","crc_field",0.068055,0.000056,,,0x0000000000006B90,,
"CAN","ack_field",0.068119,0.000004,,,,true,
"CAN","identifier_field",0.068171,0.000056,0x0000000000000301,,,,
"CAN","control_field",0.068231,0.000016,,0x0000000000000003,,,
"CAN","data_field",0.068251,0.000032,,,,,0x80
"CAN","data_field",0.068287,0.000032,,,,,0x08
"CAN","data_field",0.068323,0.000036,,,,,0x00
"CAN","crc_field",0.068363,0.000056,,,0x0000000000007745,,
"CAN","ack_field",0.068427,0.000004,,,,true,
"CAN","identifier_field",0.117707,0.00006,0x0000000000000300,,,,
"CAN","control_field",0.117771,0.000012,,0x0000000000000008,,,
"CAN","data_field",0.117787,0.000032,,,,,0x03
"CAN","data_field",0.117823,0.000028,,,,,0xA5
"CAN","data_field",0.117855,0.000028,,,,,0x64
"CAN","data_field",0.117887,0.000028,,,,,0x5A
"CAN","data_field",0.117919,0.000028,,,,,0x64
"CAN","data_field",0.117951,0.000032,,,,,0x00
"CAN","data_field",0.117991,0.000028,,,,,0x64
"CAN","data_field",0.118023,0.000028,,,,,0xE9
"CAN","crc_field",0.118055,0.00006,,,0x000000000000039E,,
"CAN","ack_field",0.118123,0.000004,,,,true,
"CAN","identifier_field",0.118175,0.000056,0x0000000000000301,,,,
"CAN","control_field",0.118235,0.000016,,0x0000000000000003,,,
"CAN","data_field",0.118255,0.000028,,,,,0x88
"CAN","data_field",0.118287,0.000032,,,,,0x09
"CAN","data_field",0.118323,0.000032,,,,,0x00
"CAN","crc_field",0.118359,0.000064,,,0x000000000000603E,,
"CAN","ack_field",0.118431,0.000004,,,,true,
"CAN","identifier_field",0.167711,0.00006,0x0000000000000300,,,,
"CAN","control_field",0.167775,0.000012,,0x0000000000000008,,,
"CAN","data_field",0.167791,0.000032,,,,,0x03
"CAN","data_field",0.167827,0.000028,,,,,0xA5
"CAN","data_field",0.167859,0.000028,,,,,0x64
"CAN","data_field",0.167891,0.000028,,,,,0x5A
"CAN","data_field",0.167923,0.000028,,,,,0x64
"CAN","data_field",0.167955,0.000032,,,,,0x00
"CAN","data_field",0.167995,0.000028,,,,,0x64
"CAN","data_field",0.168027,0.000032,,,,,0xFA
"CAN","crc_field",0.168063,0.000056,,,0x000000000000253B,,
"CAN","ack_field",0.168127,0.000004,,,,true,
"CAN","identifier_field",0.168179,0.000056,0x0000000000000301,,,,
"CAN","control_field",0.168239,0.000016,,0x0000000000000003,,,
"CAN","data_field",0.168259,0.000032,,,,,0xC6
"CAN","data_field",0.168295,0.000032,,,,,0x0A
"CAN","data_field",0.168331,0.000032,,,,,0x00
"CAN","crc_field",0.168367,0.00006,,,0x00000000000053FD,,
"CAN","ack_field",0.168435,0.000004,,,,true,
"CAN","identifier_field",0.217714,0.00006,0x0000000000000300,,,,
"CAN","control_field",0.217778,0.000012,,0x0000000000000008,,,
"CAN","data_field",0.217794,0.000032,,,,,0x03
"CAN","data_field",0.21783,0.000028,,,,,0xA5
"CAN","data_field",0.217862,0.000028,,,,,0x64
"CAN","data_field",0.217894,0.000028,,,,,0x5A
"CAN","data_field",0.217926,0.000028,,,,,0x64
"CAN","data_field",0.217958,0.000032,,,,,0x00
"CAN","data_field",0.217998,0.000028,,,,,0x64
"CAN","data_field",0.21803,0.000028,,,,,0xEB
"CAN","crc_field",0.218062,0.000056,,,0x0000000000004D35,,
"CAN","ack_field",0.218126,0.000004,,,,true,
"CAN","identifier_field",0.218178,0.000056,0x0000000000000301,,,,
"CAN","control_field",0.218238,0.000016,,0x0000000000000003,,,
"CAN","data_field",0.218258,0.000028,,,,,0x43
"CAN","data_field",0.21829,0.000028,,,,,0x0B
"CAN","data_field",0.218322,0.000032,,,,,0x00
"CAN","crc_field",0.218358,0.000056,,,0x00000000000023D1,,
"CAN","ack_field",0.218422,0.000004,,,,true,
"CAN","identifier_field",0.26772,0.00006,0x0000000000000300,,,,
"CAN","control_field",0.267784,0.000012,,0x0000000000000008,,,
"CAN","data_field",0.2678,0.000032,,,,,0x03
"CAN","data_field",0.267836,0.000028,,,,,0xA5
"CAN","data_field",0.267868,0.000028,,,,,0x64
"CAN","data_field",0.2679,0.000028,,,,,0x5A
"CAN","data_field",0.267932,0.000028,,,,,0x64
"CAN","data_field",0.267964,0.000032,,,,,0x00
"CAN","data_field",0.268004,0.000028,,,,,0x64
"CAN","data_field",0.268036,0.000032,,,,,0xFC
"CAN","crc_field",0.268072,0.000056,,,0x000000000000335F,,
"CAN","ack_field",0.26814,0.000004,,,,true,
"CAN","identifier_field",0.268192,0.000056,0x0000000000000301,,,,
"CAN","control_field",0.268252,0.000016,,0x0000000000000003,,,
"CAN","data_field",0.268272,0.000028,,,,,0xB5
"CAN","data_field",0.268304,0.000028,,,,,0x0C
"CAN","data_field",0.268336,0.000032,,,,,0x00
"CAN","crc_field",0.268376,0.00006,,,0x00000000000072FC,,
"CAN","ack_field",0.268444,0.000004,,,,true,
"CAN","identifier_field",0.317724,0.00006,0x0000000000000300,,,,
"CAN","control_field",0.317788,0.000012,,0x0000000000000008,,,
"CAN","data_field",0.317804,0.000032,,,,,0x03
"CAN","data_field",0.31784,0.000028,,,,,0xA5
"CAN","data_field",0.317872,0.000028,,,,,0x64
"CAN","data_field",0.317904,0.000028,,,,,0x5A
"CAN","data_field",0.317936,0.000028,,,,,0x64
"CAN","data_field",0.317968,0.000032,,,,,0x00
"CAN","data_field",0.318008,0.000028,,,,,0x64
"CAN","data_field",0.31804,0.000028,,,,,0xED
"CAN","crc_field",0.318072,0.000056,,,0x0000000000005B51,,
"CAN","ack_field",0.318136,0.000004,,,,true,
"CAN","identifier_field",0.318188,0.000056,0x0000000000000301,,,,
"CAN","control_field",0.318248,0.000016,,0x0000000000000003,,,
"CAN","data_field",0.318268,0.000028,,,,,0x4E
"CAN","data_field",0.3183,0.000032,,,,,0x0D
"CAN","data_field",0.318336,0.000032,,,,,0x00
"CAN","crc_field",0.318372,0.00006,,,0x000000000000581C,,
"CAN","ack_field",0.31844,0.000004,,,,true,
"CAN","identifier_field",0.367729,0.00006,0x0000000000000300,,,,
"CAN","control_field",0.367793,0.000012,,0x0000000000000008,,,
"CAN","data_field",0.367809,0.000032,,,,,0x03
"CAN","data_field",0.367845,0.000028,,,,,0xA5
"CAN","data_field",0.367877,0.000028,,,,,0x64
"CAN","data_field",0.367909,0.000028,,,,,0x5A
"CAN","data_field",0.367941,0.000028,,,,,0x64
"CAN","data_field",0.367973,0.000032,,,,,0x00
"CAN","data_field",0.368013,0.000028,,,,,0x64
"CAN","data_field",0.368045,0.000032,,,,,0xFE
"CAN","crc_field",0.368081,0.000064,,,0x0000000000007DF4,,
"CAN","ack_field",0.368153,0.000004,,,,true,
"CAN","identifier_field",0.368205,0.000056,0x0000000000000301,,,,
"CAN","control_field",0.368265,0.000016,,0x0000000000000003,,,
"CAN","data_field",0.368285,0.000028,,,,,0x1D
"CAN","data_field",0.368317,0.000028,,,,,0x0E
"CAN","data_field",0.368349,0.000032,,,,,0x00
"CAN","crc_field",0.368385,0.00006,,,0x00000000000060D7,,
"CAN","ack_field",0.368453,0.000004,,,,true,
"CAN","identifier_field",0.417737,0.00006,0x0000000000000300,,,,
"CAN","control_field",0.417801,0.000012,,0x0000000000000008,,,
"CAN","data_field",0.417817,0.000032,,,,,0x03
"CAN","data_field",0.417853,0.000028,,,,,0xA5
"CAN","data_field",0.417885,0.000028,,,,,0x64
"CAN","data_field",0.417917,0.000028,,,,,0x5A
