Timestamp,IsSPI,ID,IsExtended,IsRemote,Length,D1,D2,D3,D4,D5,D6,D7,D8
0.018473,,300,,,8,03,A5,64,5A,64,00,64,67
0.018941,,301,,,3,B8,07,00,,,,,
0.067703,,300,,,8,03,A5,64,5A,64,00,64,F8
0.068171,,301,,,3,80,08,00,,,,,
0.117707,,300,,,8,03,A5,64,5A,64,00,64,E9
0.118175,,301,,,3,88,09,00,,,,,
0.167711,,300,,,8,03,A5,64,5A,64,00,64,FA
0.168179,,301,,,3,C6,0A,00,,,,,
0.217714,,300,,,8,03,A5,64,5A,64,00,64,EB
0.218178,,301,,,3,43,0B,00,,,,,
0.26772,,300,,,8,03,A5,64,5A,64,00,64,FC
0.268192,,301,,,3,B5,0C,00,,,,,
0.317724,,300,,,8,03,A5,64,5A,64,00,64,ED
0.318188,,301,,,3,4E,0D,00,,,,,
0.367729,,300,,,8,03,A5,64,5A,64,00,64,FE
0.368205,,301,,,3,1D,0E,00,,,,,
0.417737,,300,,,8,03,A5,64,5A,64,00,64,EF
0.418205,,301,,,3,E8,0F,00,,,,,
0.467743,,300,,,8,03,A5,64,5A,64,00,64,70
0.468215,,301,,,3,E2,00,00,,,,,
0.517746,,300,,,8,03,A5,64,5A,64,00,64,61
0.51821,,301,,,3,B3,01,00,,,,,
0.567753,,300,,,8,03,A5,64,5A,64,00,64,72
0.568217,,301,,,3,6B,02,00,,,,,
0.617757,,300,,,8,03,A5,64,5A,64,00,64,63
0.618221,,301,,,3,96,03,00,,,,,
0.667763,,300,,,8,03,A5,64,5A,64,00,64,74
0.668227,,301,,,3,03,04,00,,,,,
0.717767,,300,,,8,03,A5,64,5A,64,00,64,65
0.718231,,301,,,3,54,05,00,,,,,
0.767773,,300,,,8,03,A5,64,5A,64,00,64,76
0.768245,,301,,,3,F5,06,00,,,,,
0.817779,,300,,,8,03,A5,64,5A,64,00,64,67
0.818247,,301,,,3,B8,07,00,,,,,
0.867783,,300,,,8,03,A5,64,5A,64,00,64,F8
0.868251,,301,,,3,80,08,00,,,,,
0.917787,,300,,,8,03,A5,64,5A,64,00,64,E9
0.918255,,301,,,3,88,09,00,,,,,
0.967795,,300,,,8,03,A5,64,5A,64,00,64,FA
0.968263,,301,,,3,C6,0A,00,,,,,
1.013794,,404,,,2,4A,00,,,,,,
1.018576,,300,,,8,03,A5,64,5A,64,00,64,EB
1.01904,,301,,,3,43,0B,00,,,,,
1.043772,,404,,,2,02,30,,,,,,
1.067806,,300,,,8,03,A5,64,5A,64,00,64,FC
1.068278,,301,,,3,B5,0C,00,,,,,
1.075023,,404,,,2,44,00,,,,,,
1.112016,,404,,,2,01,00,,,,,,
1.11781,,300,,,8,03,A5,64,5A,64,00,64,ED
1.118274,,301,,,3,4E,0D,00,,,,,
1.137524,,404,,,2,A3,01,,,,,,
1.167815,,300,,,8,03,A5,64,5A,64,00,64,FE
1.168291,,301,,,3,1D,0E,00,,,,,
1.168775,,404,,,2,20,00,,,,,,
1.200026,,404,,,2,21,00,,,,,,
1.217819,,300,,,8,03,A5,64,5A,64,00,64,EF
1.218287,,301,,,3,E8,0F,00,,,,,
1.2311,,404,,,2,22,00,,,,,,
1.267334,,404,,,2,23,00,,,,,,
1.268148,,300,,,8,03,A5,64,5A,64,00,64,70
1.26862,,301,,,3,E2,00,00,,,,,
1.293593,,404,,,2,24,00,,,,,,
1.317829,,300,,,8,03,A5,64,5A,64,00,64,61
1.318293,,301,,,3,B3,01,00,,,,,
1.324826,,404,,,2,25,00,,,,,,
1.356084,,404,,,2,26,00,,,,,,
1.367834,,300,,,8,03,A5,64,5A,64,00,64,72
1.368298,,301,,,3,6B,02,00,,,,,
1.387332,,404,,,2,27,00,,,,,,
1.417841,,300,,,8,03,A5,64,5A,64,00,64,63
1.418305,,301,,,3,96,03,00,,,,,
1.423838,,404,,,2,4C,00,,,,,,
1.449833,,404,,,2,46,00,,,,,,
1.467848,,300,,,8,03,A5,64,5A,64,00,64,74
1.468312,,301,,,3,03,04,00,,,,,
1.481097,,404,,,2,4D,00,,,,,,
1.512336,,404,,,2,50,00,,,,,,
1.51785,,300,,,8,03,A5,64,5A,64,00,64,65
