Timestamp,IsMotorToTCU,ID,IsExtended,IsRemote,Length,D1,D2,D3,D4,D5,D6,D7,D8
78698,0,300,0,0,8,3,5a,64,5a,64,0,64,27
78699,0,301,0,0,3,b8,7,0
78726,1,402,0,0,8,64,0,0,0,20,e2,9,0
78729,1,201,0,0,6,76,2,0,0,62,0
78741,1,203,0,0,8,0,0,0,0,0,0,0,0
78746,1,401,0,0,8,99,a0,0,0,56,0,0,0
78748,0,300,0,0,8,3,5a,64,5a,64,0,64,b8
78749,0,301,0,0,3,80,8,0
78766,1,400,0,0,8,1,0,4c,0,0,0,0,0
78798,0,300,0,0,8,3,5a,64,5a,64,0,64,a9
78799,0,301,0,0,3,88,9,0
78829,1,201,0,0,6,76,2,0,0,62,0
78841,1,203,0,0,8,0,0,0,0,0,0,0,0
78846,1,401,0,0,8,99,a0,0,0,56,0,0,0
78847,0,300,0,0,8,3,5a,64,5a,64,0,64,ba
78848,0,301,0,0,3,c6,a,0
78853,1,204,0,0,8,0,0,0,0,0,0,0,0
78865,1,202,0,0,8,e2,14,0,0,7,fc,1a,0
78866,1,400,0,0,8,1,0,4c,0,0,0,0,0
78898,0,300,0,0,8,3,5a,64,5a,64,0,64,ab
78899,0,301,0,0,3,43,b,0
78929,1,201,0,0,6,1c,2,0,0,62,0
78941,1,203,0,0,8,0,0,0,0,0,0,0,0
78946,1,401,0,0,8,97,a0,0,0,55,0,0,0
78948,0,300,0,0,8,3,5a,64,5a,64,0,64,bc
78948,0,301,0,0,3,b5,c,0
78966,1,400,0,0,8,1,0,4c,0,0,0,0,0
78998,0,300,0,0,8,3,5a,64,5a,64,0,64,ad
78999,0,301,0,0,3,4e,d,0
79029,1,201,0,0,6,12,2,0,0,62,0
79041,1,203,0,0,8,0,0,0,0,0,0,0,0
79046,1,401,0,0,8,97,a0,0,0,55,0,0,0
79048,0,300,0,0,8,3,5a,64,5a,64,0,64,be
79048,0,301,0,0,3,1d,e,0
79066,1,400,0,0,8,1,0,4c,0,0,0,0,0
79098,0,300,0,0,8,3,5a,64,5a,64,0,64,af
79099,0,301,0,0,3,e8,f,0
79129,1,201,0,0,6,12,2,0,0,62,0
79141,1,203,0,0,8,0,0,0,0,0,0,0,0
79147,1,401,0,0,8,97,a0,0,0,55,0,0,0
79148,0,300,0,0,8,3,5a,64,5a,64,0,64,30
79148,0,301,0,0,3,e2,0,0
79167,1,400,0,0,8,1,0,4c,0,0,0,0,0
79198,0,300,0,0,8,3,5a,64,5a,64,0,64,21
79199,0,301,0,0,3,b3,1,0
79227,1,403,0,0,8,63,0,0,0,20,e2,9,0
79229,1,201,0,0,6,12,2,0,0,62,0
79241,1,203,0,0,8,0,0,0,0,0,0,0,0
79247,1,401,0,0,8,97,a0,0,0,56,0,0,0
79248,0,300,0,0,8,3,5a,64,5a,64,0,64,32
79248,0,301,0,0,3,6b,2,0
79267,1,400,0,0,8,1,0,4c,0,0,0,0,0
79298,0,300,0,0,8,3,5a,64,5a,64,0,64,23
79299,0,301,0,0,3,96,3,0
79329,1,201,0,0,6,12,2,0,0,62,0
79341,1,203,0,0,8,0,0,0,0,0,0,0,0
79347,1,401,0,0,8,97,a0,0,0,56,0,0,0
79348,0,300,0,0,8,3,5a,64,5a,64,0,64,34
79348,0,301,0,0,3,3,4,0
79367,1,400,0,0,8,1,0,4c,0,0,0,0,0
79398,0,300,0,0,8,3,5a,64,5a,64,0,64,25
79399,0,301,0,0,3,54,5,0
79429,1,201,0,0,6,12,2,0,0,62,0
79441,1,203,0,0,8,0,0,0,0,0,0,0,0
79447,1,401,0,0,8,99,a0,0,0,56,0,0,0
