Timestamp,IsMotorToTCU,ID,IsExtended,IsRemote,Length,D1,D2,D3,D4,D5,D6,D7,D8
101738,0,300,0,0,8,3,5a,64,5a,64,0,64,be
101739,0,301,0,0,3,1d,e,0
101745,1,203,0,0,8,0,0,0,0,0,0,0,0
101750,1,401,0,0,8,6c,a0,0,0,56,0,0,0
101770,1,400,0,0,8,1,0,4c,0,0,0,0,0
101788,0,300,0,0,8,3,5a,64,5a,64,0,64,af
101789,0,301,0,0,3,e8,f,0
101833,1,201,0,0,6,0,0,0,0,62,0
101838,0,300,0,0,8,3,5a,64,5a,64,0,64,30
101839,0,301,0,0,3,e2,0,0
101845,1,203,0,0,8,0,0,0,0,0,0,0,0
101850,1,401,0,0,8,6e,a0,0,0,56,0,0,0
101857,1,204,0,0,8,0,0,0,0,0,0,0,0
101869,1,202,0,0,8,e2,14,0,0,c6,fd,1a,0
101870,1,400,0,0,8,1,0,4c,0,0,0,0,0
101888,0,300,0,0,8,3,5a,64,5a,64,0,64,21
101889,0,301,0,0,3,b3,1,0
101933,1,201,0,0,6,0,0,0,0,62,0
101938,0,300,0,0,8,3,5a,64,5a,64,0,64,32
101939,0,301,0,0,3,6b,2,0
101945,1,203,0,0,8,0,0,0,0,0,0,0,0
101950,1,401,0,0,8,6e,a0,0,0,56,0,0,0
101970,1,400,0,0,8,1,0,4c,0,0,0,0,0
101988,0,300,0,0,8,3,5a,64,5a,64,0,64,23
101989,0,301,0,0,3,96,3,0
102033,1,201,0,0,6,0,0,0,0,62,0
102038,0,300,0,0,8,3,5a,64,5a,64,0,64,34
102039,0,301,0,0,3,3,4,0
102046,1,203,0,0,8,0,0,0,0,0,0,0,0
102051,1,401,0,0,8,6e,a0,0,0,56,0,0,0
102071,1,400,0,0,8,1,0,4c,0,0,0,0,0
102088,0,300,0,0,8,3,5a,64,5a,64,0,64,25
102089,0,301,0,0,3,54,5,0
102133,1,201,0,0,6,0,0,0,0,62,0
102138,0,300,0,0,8,3,5a,64,5a,64,0,64,36
102139,0,301,0,0,3,f5,6,0
102146,1,203,0,0,8,0,0,0,0,0,0,0,0
102151,1,401,0,0,8,6c,a0,0,0,56,0,0,0
102171,1,400,0,0,8,1,0,4c,0,0,0,0,0
102188,0,300,0,0,8,3,5a,64,5a,64,0,64,27
102189,0,301,0,0,3,b8,7,0
102231,1,403,0,0,8,63,0,0,0,20,e2,9,0
102233,1,201,0,0,6,0,0,0,0,62,0
102238,0,300,0,0,8,3,5a,64,5a,64,0,64,b8
102239,0,301,0,0,3,80,8,0
102246,1,203,0,0,8,0,0,0,0,0,0,0,0
102251,1,401,0,0,8,6c,a0,0,0,56,0,0,0
102271,1,400,0,0,8,1,0,4c,0,0,0,0,0
102288,0,300,0,0,8,3,5a,64,5a,64,0,64,a9
102289,0,301,0,0,3,88,9,0
102333,1,201,0,0,6,0,0,0,0,62,0
102338,0,300,0,0,8,3,5a,64,5a,64,0,64,ba
102339,0,301,0,0,3,c6,a,0
102346,1,203,0,0,8,0,0,0,0,0,0,0,0
102351,1,401,0,0,8,6e,a0,0,0,56,0,0,0
102371,1,400,0,0,8,1,0,4c,0,0,0,0,0
102388,0,300,0,0,8,3,5a,64,5a,64,0,64,ab
102389,0,301,0,0,3,43,b,0
102433,1,201,0,0,6,0,0,0,0,62,0
102439,0,300,0,0,8,3,5a,64,5a,64,0,64,bc
102439,0,301,0,0,3,b5,c,0
102446,1,203,0,0,8,0,0,0,0,0,0,0,0
102451,1,401,0,0,8,6e,a0,0,0,55,0,0,0
102471,1,400,0,0,8,1,0,4c,0,0,0,0,0
102488,0,300,0,0,8,3,5a,64,5a,64,0,64,ad
102489,0,301,0,0,3,4e,d,0
102533,1,201,0,0,6,0,0,0,0,62,0
102538,0,300,0,0,8,3,5a,64,5a,64,0,64,be
102539,0,301,0,0,3,1d,e,0
102546,1,203,0,0,8,0,0,0,0,0,0,0,0
102551,1,401,0,0,8,6e,a0,0,0,55,0,0,0
102571,1,400,0,0,8,1,0,4c,0,0,0,0,0
102588,0,300,0,0,8,3,5a,64,5a,64,0,64,af
102589,0,301,0,0,3,e8,f,0
102633,1,201,0,0,6,0,0,0,0,62,0
102638,0,300,0,0,8,3,5a,64,5a,64,0,64,30
102639,0,301,0,0,3,e2,0,0
102646,1,203,0,0,8,0,0,0,0,0,0,0,0
102651,1,401,0,0,8,6e,a0,0,0,55,0,0,0
102671,1,400,0,0,8,1,0,4c,0,0,0,0,0
102688,0,300,0,0,8,3,5a,64,5a,64,0,64,21
102689,0,301,0,0,3,b3,1,0
102731,1,402,0,0,8,64,0,0,0,28,e0,9,0
102734,1,201,0,0,6,0,0,0,0,62,0
102738,0,300,0,0,8,3,5a,64,5a,64,0,64,32
102739,0,301,0,0,3,6b,2,0
102746,1,203,0,0,8,0,0,0,0,0,0,0,0
102751,1,401,0,0,8,6e,a0,0,0,55,0,0,0
102771,1,400,0,0,8,1,0,4c,0,0,0,0,0
102788,0,300,0,0,8,3,5a,64,5a,64,0,64,23
102789,0,301,0,0,3,96,3,0
102834,1,201,0,0,6,0,0,0,0,62,0
102838,0,300,0,0,8,3,5a,64,5a,64,0,64,34
102839,0,301,0,0,3,3,4,0
102846,1,203,0,0,8,0,0,0,0,0,0,0,0
102851,1,401,0,0,8,70,a0,0,0,55,0,0,0
102858,1,204,0,0,8,0,0,0,0,0,0,0,0
102870,1,202,0,0,8,e2,15,0,0,c6,fd,1a,0
102871,1,400,0,0,8,1,0,4c,0,0,0,0,0
102888,0,300,0,0,8,3,5a,64,5a,64,0,64,25
102889,0,301,0,0,3,54,5,0
102934,1,201,0,0,6,0,0,0,0,62,0
102938,0,300,0,0,8,3,5a,64,5a,64,0,64,36
102939,0,301,0,0,3,f5,6,0
102946,1,203,0,0,8,0,0,0,0,0,0,0,0
102951,1,401,0,0,8,70,a0,0,0,56,0,0,0
102971,1,400,0,0,8,1,0,4c,0,0,0,0,0
102988,0,300,0,0,8,3,5a,64,5a,64,0,64,27
102989,0,301,0,0,3,b8,7,0
103034,1,201,0,0,6,0,0,0,0,62,0
103038,0,300,0,0,8,3,5a,64,5a,64,0,64,b8
103039,0,301,0,0,3,80,8,0
103046,1,203,0,0,8,0,0,0,0,0,0,0,0
103052,1,401,0,0,8,70,a0,0,0,56,0,0,0
103072,1,400,0,0,8,1,0,4c,0,0,0,0,0
103088,0,300,0,0,8,3,5a,64,5a,64,0,64,a9
103089,0,301,0,0,3,88,9,0
103134,1,201,0,0,6,0,0,0,0,62,0
103138,0,300,0,0,8,3,5a,64,5a,64,0,64,ba
103139,0,301,0,0,3,c6,a,0
103146,1,203,0,0,8,0,0,0,0,0,0,0,0
103152,1,401,0,0,8,6e,a0,0,0,56,0,0,0
103172,1,400,0,0,8,1,0,4c,0,0,0,0,0
103188,0,300,0,0,8,3,5a,64,5a,64,0,64,ab
103189,0,301,0,0,3,43,b,0
103232,1,403,0,0,8,63,0,0,0,20,e2,9,0
103234,1,201,0,0,6,0,0,0,0,62,0
103238,0,300,0,0,8,3,5a,64,5a,64,0,64,bc
103239,0,301,0,0,3,b5,c,0
103246,1,203,0,0,8,0,0,0,0,0,0,0,0
103252,1,401,0,0,8,6e,a0,0,0,56,0,0,0
103272,1,400,0,0,8,1,0,4c,0,0,0,0,0
103288,0,300,0,0,8,3,5a,64,5a,64,0,64,ad
103289,0,301,0,0,3,4e,d,0
103334,1,201,0,0,6,0,0,0,0,62,0
103338,0,300,0,0,8,3,5a,64,5a,64,0,64,be
103339,0,301,0,0,3,1d,e,0
103346,1,203,0,0,8,0,0,0,0,0,0,0,0
103352,1,401,0,0,8,6e,a0,0,0,56,0,0,0
103372,1,400,0,0,8,1,0,4c,0,0,0,0,0
103388,0,300,0,0,8,3,5a,64,5a,64,0,64,af
103389,0,301,0,0,3,e8,f,0
103434,1,201,0,0,6,0,0,0,0,62,0
103438,0,300,0,0,8,3,5a,64,5a,64,0,64,30
103439,0,301,0,0,3,e2,0,0
103446,1,203,0,0,8,0,0,0,0,0,0,0,0
103452,1,401,0,0,8,6e,a0,0,0,55,0,0,0
103472,1,400,0,0,8,1,0,4c,0,0,0,0,0
103488,0,300,0,0,8,3,5a,64,5a,64,0,64,21
103489,0,301,0,0,3,b3,1,0
103534,1,201,0,0,6,0,0,0,0,62,0
103538,0,300,0,0,8,3,5a,64,5a,64,0,64,32
103539,0,301,0,0,3,6b,2,0
103546,1,203,0,0,8,0,0,0,0,0,0,0,0
103552,1,401,0,0,8,6e,a0,0,0,55,0,0,0
103572,1,400,0,0,8,1,0,4c,0,0,0,0,0
103588,0,300,0,0,8,3,5a,64,5a,64,0,64,23
103589,0,301,0,0,3,96,3,0
103634,1,201,0,0,6,0,0,0,0,62,0
103638,0,300,0,0,8,3,5a,64,5a,64,0,64,34
103639,0,301,0,0,3,3,4,0
103646,1,203,0,0,8,0,0,0,0,0,0,0,0
103652,1,401,0,0,8,6e,a0,0,0,55,0,0,0
103672,1,400,0,0,8,1,0,4c,0,0,0,0,0
103688,0,300,0,0,8,3,5a,64,5a,64,0,64,25
103689,0,301,0,0,3,54,5,0
103732,1,402,0,0,8,64,0,0,0,28,e0,9,0
103734,1,201,0,0,6,0,0,0,0,62,0
103738,0,300,0,0,8,3,5a,64,5a,64,0,64,36
103739,0,301,0,0,3,f5,6,0
103746,1,203,0,0,8,0,0,0,0,0,0,0,0
103752,1,401,0,0,8,6e,a0,0,0,55,0,0,0
103772,1,400,0,0,8,1,0,4c,0,0,0,0,0
103788,0,300,0,0,8,3,5a,64,5a,64,0,64,27
103789,0,301,0,0,3,b8,7,0
103834,1,201,0,0,6,0,0,0,0,62,0
103838,0,300,0,0,8,3,5a,64,5a,64,0,64,b8
103839,0,301,0,0,3,80,8,0
103846,1,203,0,0,8,0,0,0,0,0,0,0,0
103852,1,401,0,0,8,6e,a0,0,0,55,0,0,0
103858,1,204,0,0,8,0,0,0,0,0,0,0,0
103870,1,202,0,0,8,e2,17,0,0,c6,fd,1a,0
103872,1,400,0,0,8,1,0,4c,0,0,0,0,0
103882,1,666,0,0,8,52,8,1,5,52,57,12,44
103888,0,300,0,0,8,3,5a,64,5a,64,0,64,a9
103889,0,301,0,0,3,88,9,0
