Timestamp,IsMotorToTCU,ID,IsExtended,IsRemote,Length,D1,D2,D3,D4,D5,D6,D7,D8
42288,1,201,0,0,6,2a,3,0,0,62,0
42294,0,300,0,0,8,3,5a,64,5a,64,0,64,bc
42295,0,301,0,0,3,b5,c,0
42300,1,203,0,0,8,0,0,0,0,0,0,0,0
42305,1,401,0,0,8,95,a0,0,0,56,0,0,0
42325,1,400,0,0,8,1,0,4c,0,0,0,0,0
42344,0,300,0,0,8,3,5a,64,5a,64,0,64,ad
42345,0,301,0,0,3,4e,d,0
42388,1,201,0,0,6,2a,3,0,0,62,0
42394,0,300,0,0,8,3,5a,64,5a,64,0,64,be
42395,0,301,0,0,3,1d,e,0
42400,1,203,0,0,8,0,0,0,0,0,0,0,0
42405,1,401,0,0,8,93,a0,0,0,56,0,0,0
42425,1,400,0,0,8,1,0,4c,0,0,0,0,0
42444,0,300,0,0,8,3,5a,64,5a,64,0,64,af
42445,0,301,0,0,3,e8,f,0
42485,1,403,0,0,8,63,0,0,0,20,e2,9,0
42488,1,201,0,0,6,2a,3,0,0,62,0
42494,0,300,0,0,8,3,5a,64,5a,64,0,64,30
42495,0,301,0,0,3,e2,0,0
42500,1,203,0,0,8,0,0,0,0,0,0,0,0
42505,1,401,0,0,8,93,a0,0,0,56,0,0,0
42525,1,400,0,0,8,1,0,4c,0,0,0,0,0
42544,0,300,0,0,8,3,5a,64,5a,64,0,64,21
42545,0,301,0,0,3,b3,1,0
42588,1,201,0,0,6,2a,3,0,0,62,0
42594,0,300,0,0,8,3,5a,64,5a,64,0,64,32
42595,0,301,0,0,3,6b,2,0
42600,1,203,0,0,8,0,0,0,0,0,0,0,0
42605,1,401,0,0,8,93,a0,0,0,55,0,0,0
42625,1,400,0,0,8,1,0,4c,0,0,0,0,0
42644,0,300,0,0,8,3,5a,64,5a,64,0,64,23
42645,0,301,0,0,3,96,3,0
42688,1,201,0,0,6,2a,3,0,0,62,0
42694,0,300,0,0,8,3,5a,64,5a,64,0,64,34
42695,0,301,0,0,3,3,4,0
42700,1,203,0,0,8,0,0,0,0,0,0,0,0
42705,1,401,0,0,8,93,a0,0,0,55,0,0,0
42725,1,400,0,0,8,1,0,4c,0,0,0,0,0
