Timestamp,IsMotorToTCU,ID,IsExtended,IsRemote,Length,D1,D2,D3,D4,D5,D6,D7,D8
9697,1,201,0,0,6,0,0,0,0,62,0
9709,1,203,0,0,8,0,0,0,0,0,0,0,0
9719,1,401,0,0,8,9d,a0,0,0,55,0,0,0
9728,0,300,0,0,8,3,5a,64,5a,64,0,64,b8
9729,0,301,0,0,3,80,8,0
9739,1,400,0,0,8,1,0,4c,0,0,0,0,0
9778,0,300,0,0,8,3,5a,64,5a,64,0,64,a9
9779,0,301,0,0,3,88,9,0
9797,1,201,0,0,6,0,0,0,0,62,0
9809,1,203,0,0,8,0,0,0,0,0,0,0,0
9820,1,401,0,0,8,9b,a0,0,0,55,0,0,0
9828,0,300,0,0,8,3,5a,64,5a,64,0,64,ba
9829,0,301,0,0,3,c6,a,0
9840,1,400,0,0,8,1,0,4c,0,0,0,0,0
9878,0,300,0,0,8,3,5a,64,5a,64,0,64,ab
9879,0,301,0,0,3,43,b,0
9897,1,201,0,0,6,0,0,0,0,62,0
9900,1,403,0,0,8,63,0,0,0,20,e2,9,0
9909,1,203,0,0,8,0,0,0,0,0,0,0,0
9920,1,401,0,0,8,9b,a0,0,0,55,0,0,0
9928,0,300,0,0,8,3,5a,64,5a,64,0,64,bc
9929,0,301,0,0,3,b5,c,0
9940,1,400,0,0,8,1,0,4c,0,0,0,0,0
9978,0,300,0,0,8,3,5a,64,5a,64,0,64,ad
9979,0,301,0,0,3,4e,d,0
9997,1,201,0,0,6,0,0,0,0,62,0
10009,1,203,0,0,8,0,0,0,0,0,0,0,0
10020,1,401,0,0,8,9b,a0,0,0,55,0,0,0
10028,0,300,0,0,8,3,5a,64,5a,64,0,64,be
10029,0,301,0,0,3,1d,e,0
10040,1,400,0,0,8,1,0,4c,0,0,0,0,0
10078,0,300,0,0,8,3,5a,64,5a,64,0,64,af
10079,0,301,0,0,3,e8,f,0
10097,1,201,0,0,6,0,0,0,0,62,0
10109,1,203,0,0,8,0,0,0,0,0,0,0,0
10120,1,401,0,0,8,9b,a0,0,0,55,0,0,0
10128,0,300,0,0,8,3,5a,64,5a,64,0,64,30
10129,0,301,0,0,3,e2,0,0
10140,1,400,0,0,8,1,0,4c,0,0,0,0,0
10178,0,300,0,0,8,3,5a,64,5a,64,0,64,21
10179,0,301,0,0,3,b3,1,0
10197,1,201,0,0,6,0,0,0,0,62,0
10209,1,203,0,0,8,0,0,0,0,0,0,0,0
10220,1,401,0,0,8,9b,a0,0,0,55,0,0,0
10228,0,300,0,0,8,3,5a,64,5a,64,0,64,32
10229,0,301,0,0,3,6b,2,0
10240,1,400,0,0,8,1,0,4c,0,0,0,0,0
10278,0,300,0,0,8,3,5a,64,5a,64,0,64,23
10279,0,301,0,0,3,96,3,0
10297,1,201,0,0,6,0,0,0,0,62,0
10309,1,203,0,0,8,0,0,0,0,0,0,0,0
10320,1,401,0,0,8,9b,a0,0,0,55,0,0,0
10328,0,300,0,0,8,3,5a,64,5a,64,0,64,34
10329,0,301,0,0,3,3,4,0
10340,1,400,0,0,8,1,0,4c,0,0,0,0,0
10378,0,300,0,0,8,3,5a,64,5a,64,0,64,25
10379,0,301,0,0,3,54,5,0
10397,1,201,0,0,6,0,0,0,0,62,0
10400,1,402,0,0,8,64,0,0,0,20,e2,9,0
10409,1,203,0,0,8,0,0,0,0,0,0,0,0
10420,1,401,0,0,8,9b,a0,0,0,55,0,0,0
10428,0,300,0,0,8,3,5a,64,5a,64,0,64,36
10429,0,301,0,0,3,f5,6,0
10440,1,400,0,0,8,1,0,4c,0,0,0,0,0
10478,0,300,0,0,8,3,5a,64,5a,64,0,64,27
10479,0,301,0,0,3,b8,7,0
10497,1,201,0,0,6,0,0,0,0,62,0
10509,1,203,0,0,8,0,0,0,0,0,0,0,0
10520,1,401,0,0,8,9b,a0,0,0,56,0,0,0
10528,0,300,0,0,8,3,5a,64,5a,64,0,64,b8
10529,0,301,0,0,3,80,8,0
10540,1,400,0,0,8,1,0,4c,0,0,0,0,0
10578,0,300,0,0,8,3,5a,64,5a,64,0,64,a9
10579,0,301,0,0,3,88,9,0
10597,1,201,0,0,6,0,0,0,0,62,0
10609,1,203,0,0,8,0,0,0,0,0,0,0,0
10620,1,401,0,0,8,9b,a0,0,0,56,0,0,0
10621,1,204,0,0,8,0,0,0,0,0,0,0,0
10628,0,300,0,0,8,3,5a,64,5a,64,0,64,ba
10629,0,301,0,0,3,c6,a,0
10633,1,202,0,0,8,e2,15,0,0,d4,fb,1a,0
10640,1,400,0,0,8,1,0,4c,0,0,0,0,0
10645,1,666,0,0,8,52,8,1,5,52,57,12,44
10657,1,665,0,0,8,0,0,0,53,4c,18,53,0
10669,1,200,0,0,8,64,0,20,e2,9,0,2,0
10678,0,300,0,0,8,3,5a,64,5a,64,0,64,ab
10679,0,301,0,0,3,43,b,0
10697,1,201,0,0,6,0,0,0,0,62,0
10709,1,203,0,0,8,0,0,0,0,0,0,0,0
10720,1,401,0,0,8,9b,a0,0,0,56,0,0,0
10728,0,300,0,0,8,3,5a,64,5a,64,0,64,bc
10729,0,301,0,0,3,b5,c,0
10740,1,400,0,0,8,1,0,4c,0,0,0,0,0
10778,0,300,0,0,8,3,5a,64,5a,64,0,64,ad
10779,0,301,0,0,3,4e,d,0
10797,1,201,0,0,6,0,0,0,0,62,0
10809,1,203,0,0,8,0,0,0,0,0,0,0,0
10821,1,401,0,0,8,9b,a0,0,0,56,0,0,0
10828,0,300,0,0,8,3,5a,64,5a,64,0,64,be
10829,0,301,0,0,3,1d,e,0
10841,1,400,0,0,8,1,0,4c,0,0,0,0,0
10878,0,300,0,0,8,3,5a,64,5a,64,0,64,af
10879,0,301,0,0,3,e8,f,0
10897,1,201,0,0,6,0,0,0,0,62,0
10901,1,403,0,0,8,63,0,0,0,20,e2,9,0
10909,1,203,0,0,8,0,0,0,0,0,0,0,0
10921,1,401,0,0,8,9b,a0,0,0,56,0,0,0
10928,0,300,0,0,8,3,5a,64,5a,64,0,64,30
10929,0,301,0,0,3,e2,0,0
10941,1,400,0,0,8,1,0,4c,0,0,0,0,0
10978,0,300,0,0,8,3,5a,64,5a,64,0,64,21
10979,0,301,0,0,3,b3,1,0
10997,1,201,0,0,6,0,0,0,0,62,0
11009,1,203,0,0,8,0,0,0,0,0,0,0,0
11021,1,401,0,0,8,9b,a0,0,0,55,0,0,0
11028,0,300,0,0,8,3,5a,64,5a,64,0,64,32
11029,0,301,0,0,3,6b,2,0
11041,1,400,0,0,8,1,0,4c,0,0,0,0,0
11078,0,300,0,0,8,3,5a,64,5a,64,0,64,23
11079,0,301,0,0,3,96,3,0
11097,1,201,0,0,6,0,0,0,0,62,0
11109,1,203,0,0,8,0,0,0,0,0,0,0,0
11121,1,401,0,0,8,9b,a0,0,0,55,0,0,0
11128,0,300,0,0,8,3,5a,64,5a,64,0,64,34
11129,0,301,0,0,3,3,4,0
11141,1,400,0,0,8,1,0,4c,0,0,0,0,0
11178,0,300,0,0,8,3,5a,64,5a,64,0,64,25
11179,0,301,0,0,3,54,5,0
11197,1,201,0,0,6,0,0,0,0,62,0
11209,1,203,0,0,8,0,0,0,0,0,0,0,0
11221,1,401,0,0,8,9b,a0,0,0,55,0,0,0
11228,0,300,0,0,8,3,5a,64,5a,64,0,64,36
11229,0,301,0,0,3,f5,6,0
11241,1,400,0,0,8,1,0,4c,0,0,0,0,0
11278,0,300,0,0,8,3,5a,64,5a,64,0,64,27
11279,0,301,0,0,3,b8,7,0
11297,1,201,0,0,6,0,0,0,0,62,0
11309,1,203,0,0,8,0,0,0,0,0,0,0,0
11321,1,401,0,0,8,9b,a0,0,0,55,0,0,0
11328,0,300,0,0,8,3,5a,64,5a,64,0,64,b8
11329,0,301,0,0,3,80,8,0
11341,1,400,0,0,8,1,0,4c,0,0,0,0,0
11378,0,300,0,0,8,3,5a,64,5a,64,0,64,a9
11379,0,301,0,0,3,88,9,0
11397,1,201,0,0,6,0,0,0,0,62,0
11401,1,402,0,0,8,64,0,0,0,20,e2,9,0
11409,1,203,0,0,8,0,0,0,0,0,0,0,0
11421,1,401,0,0,8,9b,a0,0,0,55,0,0,0
11428,0,300,0,0,8,3,5a,64,5a,64,0,64,ba
11429,0,301,0,0,3,c6,a,0
11441,1,400,0,0,8,1,0,4c,0,0,0,0,0
11478,0,300,0,0,8,3,5a,64,5a,64,0,64,ab
11479,0,301,0,0,3,43,b,0
11497,1,201,0,0,6,0,0,0,0,62,0
11509,1,203,0,0,8,0,0,0,0,0,0,0,0
11521,1,401,0,0,8,9b,a0,0,0,55,0,0,0
11528,0,300,0,0,8,3,5a,64,5a,64,0,64,bc
11529,0,301,0,0,3,b5,c,0
11541,1,400,0,0,8,1,0,4c,0,0,0,0,0
11578,0,300,0,0,8,3,5a,64,5a,64,0,64,ad
11579,0,301,0,0,3,4e,d,0
11597,1,201,0,0,6,0,0,0,0,62,0
11609,1,203,0,0,8,0,0,0,0,0,0,0,0
11621,1,204,0,0,8,0,0,0,0,0,0,0,0
11622,1,401,0,0,8,9b,a0,0,0,55,0,0,0
11628,0,300,0,0,8,3,5a,64,5a,64,0,64,be
11629,0,301,0,0,3,1d,e,0
11633,1,202,0,0,8,e2,16,0,0,d4,fb,1a,0
11641,1,400,0,0,8,1,0,4c,0,0,0,0,0
11678,0,300,0,0,8,3,5a,64,5a,64,0,64,af
11679,0,301,0,0,3,e8,f,0
11697,1,201,0,0,6,0,0,0,0,62,0
11709,1,203,0,0,8,0,0,0,0,0,0,0,0
11721,1,401,0,0,8,9b,a0,0,0,55,0,0,0
11728,0,300,0,0,8,3,5a,64,5a,64,0,64,30
11729,0,301,0,0,3,e2,0,0
11742,1,400,0,0,8,1,0,4c,0,0,0,0,0
11778,0,300,0,0,8,3,5a,64,5a,64,0,64,21
11779,0,301,0,0,3,b3,1,0
11797,1,201,0,0,6,0,0,0,0,62,0
11809,1,203,0,0,8,0,0,0,0,0,0,0,0
11822,1,401,0,0,8,9b,a0,0,0,55,0,0,0
11828,0,300,0,0,8,3,5a,64,5a,64,0,64,32
11829,0,301,0,0,3,6b,2,0
11842,1,400,0,0,8,1,0,4c,0,0,0,0,0
11878,0,300,0,0,8,3,5a,64,5a,64,0,64,23
11879,0,301,0,0,3,96,3,0
11897,1,201,0,0,6,0,0,0,0,62,0
11902,1,403,0,0,8,63,0,0,0,20,e2,9,0
